player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,25.6,0,7,1,14.3,0.27,0.04,0.00,0.00,19.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Amir Abrashi,al ALB,MF,Freiburg,27,1990,9.4,0,5,0,0.0,0.53,0.00,0.00,,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
René Adler,de GER,GK,Mainz 05,32,1985,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ailton,br BRA,"DF,MF",Stuttgart,22,1995,1.2,0,1,0,0.0,0.83,0.00,0.00,,15.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,22,1995,10.0,0,5,2,40.0,0.50,0.20,0.00,0.00,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,22,1995,12.2,5,32,15,46.9,2.61,1.23,0.16,0.33,18.0,0,0,1,4.7,4.0,0.12,+0.3,+1.0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,18.8,0,5,2,40.0,0.27,0.11,0.00,0.00,20.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
David Alaba,at AUT,DF,Bayern Munich,25,1992,17.2,2,24,7,29.2,1.39,0.41,0.08,0.29,26.9,8,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches
Lucas Alario,ar ARG,FW,Leverkusen,24,1992,17.2,9,56,20,35.7,3.25,1.16,0.14,0.40,13.1,1,1,2,10.5,8.9,0.16,-1.5,-0.9,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,26,1990,7.8,0,4,1,25.0,0.51,0.13,0.00,0.00,16.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,26,1991,13.9,2,24,7,29.2,1.73,0.51,0.08,0.29,19.9,1,0,0,2.5,2.5,0.11,-0.5,-0.5,Matches
Stephan Ambrosius,gh GHA,DF,Hamburger SV,18,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,20,1996,19.4,2,44,16,36.4,2.27,0.83,0.05,0.13,20.7,1,0,0,2.9,2.9,0.07,-0.9,-0.9,Matches
Waldemar Anton,de GER,"DF,MF",Hannover 96,21,1996,25.3,1,23,5,21.7,0.91,0.20,0.04,0.20,17.1,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
Dennis Aogo,de GER,"MF,DF",Stuttgart,30,1987,21.7,0,15,1,6.7,0.69,0.05,0.00,0.00,22.2,2,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,28,1989,25.6,1,34,5,14.7,1.33,0.20,0.03,0.20,23.4,7,0,0,2.8,2.8,0.08,-1.8,-1.8,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,23,1994,27.3,2,33,10,30.3,1.21,0.37,0.06,0.20,28.6,10,0,1,2.3,1.5,0.04,-0.3,+0.5,Matches
Jann-Fiete Arp,de GER,"FW,MF",Hamburger SV,17,2000,9.4,2,17,7,41.2,1.80,0.74,0.12,0.29,15.1,0,0,0,1.8,1.8,0.11,+0.2,+0.2,Matches
Takuma Asano,jp JPN,"FW,MF",Stuttgart,22,1994,8.0,1,17,4,23.5,2.12,0.50,0.06,0.25,14.3,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
Santiago Ascacíbar,ar ARG,MF,Stuttgart,20,1997,26.5,0,11,2,18.2,0.42,0.08,0.00,0.00,26.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Simon Asta,de GER,MF,Augsburg,16,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,28,1989,15.7,13,54,23,42.6,3.43,1.46,0.19,0.43,12.5,0,3,4,16.2,13.0,0.26,-3.2,-3.0,Matches
Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,20,1997,14.1,9,35,16,45.7,2.49,1.14,0.23,0.50,15.5,0,1,2,7.1,5.5,0.16,+1.9,+2.5,Matches
Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,23,1994,28.1,1,24,6,25.0,0.85,0.21,0.04,0.17,18.0,1,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
Yann Aurel Bisseck,de GER,"DF,MF",Köln,16,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Holger Badstuber,de GER,"DF,MF",Stuttgart,28,1989,24.1,2,9,5,55.6,0.37,0.21,0.22,0.40,11.5,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Matches
Daniel Baier,de GER,MF,Augsburg,33,1984,28.2,0,27,5,18.5,0.96,0.18,0.00,0.00,24.9,0,0,0,0.9,0.9,0.03,-0.9,-0.9,Matches
Leon Bailey,jm JAM,"FW,DF",Leverkusen,19,1997,24.6,9,76,27,35.5,3.09,1.10,0.12,0.33,20.4,11,0,0,8.0,8.0,0.11,+1.0,+1.0,Matches
Marvin Bakalorz,de GER,MF,Hannover 96,27,1989,22.8,0,21,5,23.8,0.92,0.22,0.00,0.00,21.1,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
Ridle Baku,de GER,MF,Mainz 05,19,1998,2.6,2,5,3,60.0,1.93,1.16,0.40,0.67,20.6,0,0,0,0.9,0.9,0.17,+1.1,+1.1,Matches
Leon Balogun,ng NGA,DF,Mainz 05,29,1988,13.0,0,2,1,50.0,0.15,0.08,0.00,0.00,26.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Philipp Bargfrede,de GER,MF,Werder Bremen,28,1989,20.7,1,16,5,31.3,0.77,0.24,0.06,0.20,27.4,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,19,1998,3.5,0,3,0,0.0,0.86,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Fin Bartels,de GER,FW,Werder Bremen,30,1987,12.5,2,22,9,40.9,1.77,0.72,0.09,0.22,17.1,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches
Marc Bartra,es ESP,DF,Dortmund,26,1991,9.0,2,5,3,60.0,0.56,0.33,0.40,0.67,21.4,0,0,0,0.2,0.2,0.03,+1.8,+1.8,Matches
Michy Batshuayi,be BEL,FW,Dortmund,23,1993,9.3,7,29,14,48.3,3.11,1.50,0.24,0.50,12.1,0,0,0,7.3,7.3,0.25,-0.3,-0.3,Matches
Robert Bauer,de GER,"DF,FW",Werder Bremen,22,1995,10.6,0,2,0,0.0,0.19,0.00,0.00,,33.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,27,1990,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Timo Baumgartl,de GER,DF,Stuttgart,21,1996,29.0,0,8,1,12.5,0.28,0.03,0.00,0.00,13.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Julian Baumgartlinger,at AUT,"MF,DF",Leverkusen,29,1988,15.5,1,11,4,36.4,0.71,0.26,0.09,0.25,17.4,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,20,1996,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Riechedly Bazoer,nl NED,MF,Wolfsburg,20,1996,6.6,0,7,2,28.6,1.06,0.30,0.00,0.00,25.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,23,1994,23.8,5,50,19,38.0,2.10,0.80,0.10,0.26,19.1,0,0,0,5.2,5.2,0.10,-0.2,-0.2,Matches
Andreas Beck,de GER,DF,Stuttgart,30,1987,21.4,1,8,2,25.0,0.37,0.09,0.13,0.50,21.8,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Ishak Belfodil,dz ALG,FW,Werder Bremen,25,1992,15.0,4,46,20,43.5,3.07,1.33,0.09,0.20,12.6,1,0,0,4.7,4.7,0.10,-0.7,-0.7,Matches
Stefan Bell,de GER,DF,Mainz 05,25,1991,24.2,1,12,6,50.0,0.50,0.25,0.08,0.17,14.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,27,1990,12.7,1,43,16,37.2,3.38,1.26,0.02,0.06,21.1,0,0,0,2.9,2.9,0.07,-1.9,-1.9,Matches
Lars Bender,de GER,"DF,MF",Leverkusen,28,1989,17.7,2,21,5,23.8,1.18,0.28,0.10,0.40,16.1,0,0,0,2.1,2.1,0.10,-0.1,-0.1,Matches
Sven Bender,de GER,DF,Leverkusen,28,1989,26.1,2,15,6,40.0,0.58,0.23,0.13,0.33,9.5,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
László Bénes,sk SVK,MF,M'Gladbach,19,1997,0.4,0,1,0,0.0,2.37,0.00,0.00,,32.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Marcel Benger,de GER,MF,M'Gladbach,19,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Charlison Benschop,cw CUW,"MF,DF",Hannover 96,27,1989,2.0,1,5,1,20.0,2.45,0.49,0.20,1.00,12.4,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
