player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Issah Abbas,gh GHA,FW,Mainz 05,19,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,15.8,22,14,13,8,1,11,25,44.0,14,23,12,11,24,46,64,0,Matches
Amir Abrashi,al ALB,MF,Freiburg,28,1990,8.8,20,11,7,10,3,6,19,31.6,13,11,3,8,14,34,15,0,Matches
Tyler Adams,us USA,MF,RB Leipzig,19,1999,8.0,29,17,12,16,1,11,26,42.3,15,17,1,16,16,45,8,0,Matches
Antonis Aidonis,de GER,DF,Stuttgart,17,2001,0.9,3,1,1,1,1,1,4,25.0,3,1,0,1,2,5,2,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,23,1995,24.5,29,19,14,13,2,14,25,56.0,11,22,13,9,27,56,92,2,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,5.8,9,6,2,7,0,1,3,33.3,2,7,0,7,4,13,1,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,23,1995,5.5,23,15,13,10,0,11,21,52.4,10,18,5,13,12,35,20,2,Matches
Kevin Akpoguma,ng NGA,DF,Hannover 96,23,1995,3.5,10,6,5,5,0,6,7,85.7,1,7,2,5,10,20,7,2,Matches
David Alaba,at AUT,DF,Bayern Munich,26,1992,28.1,34,21,13,13,8,17,26,65.4,9,24,3,21,31,65,40,0,Matches
Lucas Alario,ar ARG,"FW,MF",Leverkusen,25,1992,14.1,15,8,5,6,4,4,14,28.6,10,9,0,9,1,16,16,0,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,18.4,46,26,31,10,5,21,45,46.7,24,23,3,20,16,62,37,1,Matches
Paco Alcácer,es ESP,FW,Dortmund,24,1993,13.5,3,1,2,0,1,0,6,0.0,6,5,0,5,6,9,7,0,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,26.8,87,65,31,44,12,25,48,52.1,23,23,4,19,44,131,17,1,Matches
Allan,br BRA,MF,Eint Frankfurt,21,1997,2.0,4,4,2,2,0,0,4,0.0,4,4,2,2,0,4,1,0,Matches
Alfons Amade,de GER,MF,Hoffenheim,18,1999,0.1,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,21,1996,8.4,14,9,8,4,2,3,13,23.1,10,11,0,11,7,21,4,0,Matches
Waldemar Anton,de GER,DF,Hannover 96,22,1996,34.0,49,32,33,14,2,22,50,44.0,28,56,33,23,69,118,169,3,Matches
Dennis Aogo,de GER,MF,Stuttgart,31,1987,11.4,15,10,6,7,2,6,15,40.0,9,8,1,7,9,24,19,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,29,1989,21.0,48,30,21,22,5,21,66,31.8,45,31,2,29,25,73,27,1,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,24,1994,31.9,52,30,21,27,4,21,61,34.4,40,31,10,21,35,87,48,1,Matches
Takuma Asano,jp JPN,"MF,FW",Hannover 96,23,1994,7.8,5,3,1,1,3,1,6,16.7,5,9,0,9,2,7,2,0,Matches
Santiago Ascacíbar,ar ARG,MF,Stuttgart,21,1997,27.0,78,50,43,29,6,34,74,45.9,40,48,10,38,43,121,34,1,Matches
Simon Asta,de GER,DF,Augsburg,17,2001,1.0,6,3,4,2,0,2,2,100.0,0,2,1,1,3,9,1,0,Matches
