player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Issah Abbas,gh GHA,FW,Mainz 05,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,17,17,"1,420",15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07,Matches
Amir Abrashi,al ALB,MF,Freiburg,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Tyler Adams,us USA,MF,RB Leipzig,19,1999,10,8,721,8.0,0,2,2,0,0,0,0,0,0.1,0.1,1.0,1.1,19,64,12,0.00,0.25,0.25,0.00,0.25,0.01,0.13,0.13,0.01,0.13,Matches
Antonis Aidonis,de GER,DF,Stuttgart,17,2001,2,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Manuel Akanji,ch SUI,DF,Dortmund,23,1995,25,25,"2,205",24.5,1,0,1,1,0,0,1,0,0.5,0.5,0.6,1.1,24,122,11,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,16,5,525,5.8,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,14,14,40,0.00,0.17,0.17,0.00,0.17,0.16,0.08,0.24,0.16,0.24,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,23,1995,8,5,499,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Akpoguma,ng NGA,DF,Hannover 96,23,1995,4,4,313,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
David Alaba,at AUT,DF,Bayern Munich,26,1992,31,29,"2,530",28.1,3,3,6,3,0,0,4,0,3.2,3.2,4.4,7.6,87,190,240,0.11,0.11,0.21,0.11,0.21,0.11,0.16,0.27,0.11,0.27,Matches
Lucas Alario,ar ARG,"FW,MF",Leverkusen,25,1992,27,11,"1,265",14.1,9,3,12,9,0,0,1,0,6.7,6.7,1.4,8.1,12,22,86,0.64,0.21,0.85,0.64,0.85,0.47,0.10,0.57,0.47,0.57,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,22,19,"1,660",18.4,1,3,4,1,0,0,3,1,0.3,0.3,1.5,1.8,34,71,75,0.05,0.16,0.22,0.05,0.22,0.02,0.08,0.10,0.02,0.10,Matches
Paco Alcácer,es ESP,FW,Dortmund,24,1993,26,11,"1,211",13.5,18,0,18,17,1,1,0,0,9.5,8.8,1.6,10.4,12,17,70,1.34,0.00,1.34,1.26,1.26,0.71,0.12,0.83,0.65,0.77,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,30,26,"2,408",26.8,2,6,8,2,0,0,5,0,1.9,1.9,3.5,5.4,49,310,56,0.07,0.22,0.30,0.07,0.30,0.07,0.13,0.20,0.07,0.20,Matches
Allan,br BRA,MF,Eint Frankfurt,21,1997,4,2,176,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,4,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Alfons Amade,de GER,MF,Hoffenheim,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,21,1996,13,10,754,8.4,3,1,4,3,0,0,1,0,2.2,2.2,1.4,3.5,22,50,36,0.36,0.12,0.48,0.36,0.48,0.26,0.16,0.42,0.26,0.42,Matches
Waldemar Anton,de GER,DF,Hannover 96,22,1996,34,34,"3,060",34.0,1,0,1,1,0,0,4,0,1.8,1.8,0.2,2.0,35,96,17,0.03,0.00,0.03,0.03,0.03,0.05,0.01,0.06,0.05,0.06,Matches
Dennis Aogo,de GER,MF,Stuttgart,31,1987,15,13,"1,025",11.4,0,0,0,0,0,0,1,0,0.5,0.5,1.4,1.9,12,38,13,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.17,0.04,0.17,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,29,1989,24,22,"1,891",21.0,2,7,9,2,0,0,3,0,1.4,1.4,3.4,4.8,27,207,63,0.10,0.33,0.43,0.10,0.43,0.07,0.16,0.23,0.07,0.23,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,24,1994,33,33,"2,872",31.9,2,6,8,2,0,0,7,0,2.7,2.7,4.3,7.0,41,141,83,0.06,0.19,0.25,0.06,0.25,0.09,0.13,0.22,0.09,0.22,Matches
Takuma Asano,jp JPN,"MF,FW",Hannover 96,23,1994,13,9,699,7.8,0,0,0,0,0,0,0,0,1.6,1.6,0.4,2.0,21,14,59,0.00,0.00,0.00,0.00,0.00,0.20,0.05,0.25,0.20,0.25,Matches
Santiago Ascacíbar,ar ARG,MF,Stuttgart,21,1997,27,27,"2,428",27.0,0,0,0,0,0,0,10,1,1.3,1.3,0.5,1.9,27,100,28,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Simon Asta,de GER,DF,Augsburg,17,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,2,3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
