player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,49,5,0,4,2,48.5,0.29,+1.5,+0.05,137,391,35.0,1019,174,28.8,29.9,262,37.4,34.5,485,18,3.7,27,0.90,13.9,Matches
Roman Bürki,ch SUI,GK,Dortmund,28,1990,30.8,40,3,0,7,3,34.5,0.35,-2.5,-0.08,84,272,30.9,847,182,24.9,30.0,201,30.3,33.1,309,11,3.6,45,1.46,18.2,Matches
Koen Casteels,be BEL,GK,Wolfsburg,27,1992,26.0,38,4,1,4,0,34.3,0.29,-3.7,-0.14,187,420,44.5,792,122,39.9,35.5,178,58.4,45.3,356,18,5.1,34,1.31,16.6,Matches
Mark Flekken,nl NED,GK,Freiburg,26,1993,10.0,14,0,0,1,0,19.7,0.28,+5.7,+0.57,64,180,35.6,324,38,37.0,35.9,108,55.6,47.8,160,5,3.1,8,0.80,12.6,Matches
Rafał Gikiewicz,pl POL,GK,Union Berlin,31,1987,33.0,54,3,0,7,1,48.9,0.29,-4.1,-0.12,374,823,45.4,1079,121,56.1,41.7,269,81.0,56.7,518,32,6.2,37,1.12,13.4,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,29,1990,32.0,34,2,0,7,0,36.5,0.30,+2.5,+0.08,117,333,35.1,1032,186,25.1,29.9,227,32.6,33.7,400,18,4.5,68,2.13,18.5,Matches
Marwin Hitz,ch SUI,GK,Dortmund,31,1987,3.2,1,0,0,0,0,3.4,0.49,+2.4,+0.75,8,22,36.4,75,14,17.3,28.2,25,36.0,38.3,35,1,2.9,4,1.24,15.4,Matches
Timo Horn,de GER,GK,Köln,26,1993,34.0,69,4,1,11,2,54.8,0.32,-12.2,-0.36,270,552,48.9,901,103,46.5,37.9,297,44.8,38.4,479,20,4.2,23,0.68,11.8,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,29,1989,34.0,44,2,1,4,0,48.1,0.33,+4.1,+0.12,180,498,36.1,1365,204,30.4,32.3,232,35.8,35.9,365,14,3.8,55,1.62,16.7,Matches
Jannik Huth,de GER,GK,Paderborn 07,25,1994,6.0,17,1,0,1,0,12.1,0.34,-4.9,-0.81,28,72,38.9,203,37,30.0,31.5,48,22.9,29.7,70,1,1.4,5,0.83,15.2,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,34,1984,28.3,46,7,3,5,2,42.2,0.25,-1.8,-0.06,262,563,46.5,786,117,50.8,39.2,224,73.2,50.6,458,33,7.2,20,0.71,12.0,Matches
Stefanos Kapino,gr GRE,GK,Werder Bremen,25,1994,1.0,2,0,0,0,0,0.9,0.19,-1.1,-1.06,7,16,43.8,26,8,38.5,33.8,9,66.7,43.0,21,0,0.0,1,1.00,12.0,Matches
Florian Kastenmeier,de GER,GK,Düsseldorf,22,1997,17.0,31,2,0,3,3,25.2,0.30,-2.8,-0.17,115,287,40.1,509,57,44.4,38.0,112,54.5,45.1,207,6,2.9,20,1.18,15.8,Matches
Tomáš Koubek,cz CZE,GK,Augsburg,26,1992,24.0,51,0,0,3,2,42.7,0.35,-6.3,-0.26,145,457,31.7,623,102,49.3,40.3,212,70.8,53.4,366,13,3.6,34,1.42,15.7,Matches
Thomas Kraft,de GER,GK,Hertha BSC,31,1988,4.0,9,0,0,2,0,6.0,0.31,-3.0,-0.76,34,82,41.5,95,14,58.9,39.5,33,78.8,54.9,75,2,2.7,6,1.50,22.8,Matches
Andreas Luthe,de GER,GK,Augsburg,32,1987,10.0,12,0,0,0,1,14.1,0.43,+3.1,+0.31,52,165,31.5,324,51,37.0,35.1,91,49.5,40.8,184,10,5.4,11,1.10,13.9,Matches
Florian Müller,de GER,GK,Mainz 05,21,1997,12.5,25,2,3,1,0,22.2,0.31,-2.8,-0.22,65,188,34.6,360,79,31.4,32.1,118,63.6,46.6,208,13,6.3,18,1.44,15.8,Matches
Yvon Mvogo,ch SUI,GK,RB Leipzig,25,1994,2.0,3,0,0,0,0,1.5,0.30,-1.5,-0.76,4,13,30.8,70,9,14.3,25.9,10,30.0,31.0,20,1,5.0,3,1.50,17.6,Matches
Manuel Neuer,de GER,GK,Bayern Munich,33,1986,33.0,31,3,0,6,1,34.6,0.28,+4.6,+0.14,139,276,50.4,1267,203,19.6,26.4,180,15.6,27.8,303,10,3.3,123,3.73,23.7,Matches
Moritz Nicolas,de GER,GK,Union Berlin,21,1997,1.0,4,0,0,0,0,3.0,0.37,-1.0,-1.01,9,18,50.0,28,1,50.0,42.3,7,57.1,47.4,11,0,0.0,1,1.00,16.0,Matches
Alexander Nübel,de GER,GK,Schalke 04,22,1996,25.7,40,4,1,5,2,35.8,0.28,-2.2,-0.09,132,394,33.5,791,109,34.8,33.8,207,57.5,45.0,339,22,6.5,23,0.89,13.8,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,27,1992,33.0,67,1,1,11,3,49.5,0.29,-14.5,-0.44,198,490,40.4,894,152,37.6,35.0,298,51.7,41.7,593,12,2.0,30,0.91,14.0,Matches
Philipp Pentke,de GER,GK,Hoffenheim,34,1985,4.0,4,1,0,0,0,6.2,0.25,+2.2,+0.55,13,46,28.3,133,26,27.1,30.5,30,33.3,37.9,80,4,5.0,11,2.75,17.0,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,31,1987,8.0,8,1,0,0,0,11.4,0.28,+3.4,+0.42,48,120,40.0,202,37,44.1,36.4,62,50.0,44.0,104,3,2.9,12,1.50,16.3,Matches
Frederik Rønnow,dk DEN,GK,Eint Frankfurt,26,1992,9.0,14,2,0,0,0,14.3,0.26,+0.3,+0.04,78,172,45.3,280,37,48.9,37.9,62,56.5,45.0,116,4,3.4,11,1.22,17.4,Matches
Markus Schubert,de GER,GK,Schalke 04,21,1998,8.2,18,2,1,4,0,18.5,0.31,+0.5,+0.06,44,155,28.4,252,29,46.0,37.6,60,65.0,46.4,149,6,4.0,8,0.97,12.7,Matches
Alexander Schwolow,de GER,GK,Freiburg,27,1992,23.2,32,3,0,5,0,31.9,0.25,-0.1,0.00,153,429,35.7,726,120,34.4,34.3,249,71.9,55.1,381,13,3.4,14,0.60,12.9,Matches
Dennis Smarsch,de GER,GK,Hertha BSC,20,1999,1.7,4,0,0,1,0,2.3,0.21,-1.7,-0.99,10,26,38.5,53,8,30.2,32.7,16,62.5,45.1,15,1,6.7,3,1.79,12.9,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,30,1988,34.0,40,1,1,3,0,47.5,0.29,+7.5,+0.22,180,418,43.1,1263,169,25.7,29.8,282,33.3,34.6,501,13,2.6,49,1.44,16.9,Matches
Zack Steffen,us USA,GK,Düsseldorf,24,1995,17.0,36,1,1,4,1,32.5,0.32,-2.5,-0.15,129,296,43.6,472,102,42.6,36.9,144,66.0,51.2,264,14,5.3,16,0.94,12.9,Matches
