player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,1.7,19,42,45.2,279,99,11,20,55.0,7,14,50.0,1,4,25.0,0,0.2,0.1,-0.2,1,2,2,1,3,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,738,911,81.0,14808,5563,249,287,86.8,379,445,85.2,105,156,67.3,0,0.1,0.4,-0.1,2,66,8,2,99,Matches
Amir Abrashi,al ALB,MF,Freiburg,29,1990,7.4,280,330,84.8,4029,919,162,178,91.0,101,112,90.2,10,18,55.6,0,0.1,0.2,-0.1,4,24,4,3,27,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,10.6,584,703,83.1,8760,2384,309,349,88.5,214,245,87.3,26,45,57.8,0,0.6,0.6,-0.6,7,35,10,3,34,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,8.3,128,180,71.1,1677,351,84,105,80.0,33,41,80.5,4,7,57.1,1,0.6,0.8,+0.4,6,6,5,2,16,Matches
Manuel Akanji,ch SUI,DF,Dortmund,24,1995,25.7,1764,1948,90.6,32633,11486,656,706,92.9,938,987,95.0,151,213,70.9,1,0.4,0.8,+0.6,3,96,2,1,104,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,12.7,664,757,87.7,11440,3892,274,293,93.5,343,371,92.5,39,77,50.6,0,0.1,0.1,-0.1,2,28,1,0,32,Matches
David Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,2263,2516,89.9,42080,14738,861,908,94.8,1128,1208,93.4,232,322,72.0,1,2.4,2.8,-1.4,19,278,22,5,285,Matches
Lucas Alario,ar ARG,FW,Leverkusen,26,1992,13.0,219,310,70.6,2800,383,132,177,74.6,40,53,75.5,15,20,75.0,1,1.6,0.9,-0.6,13,10,7,0,16,Matches
Paco Alcácer,es ESP,FW,Dortmund,25,1993,5.9,81,111,73.0,994,170,42,56,75.0,19,27,70.4,5,9,55.6,1,0.9,0.5,+0.1,5,5,1,0,8,Matches
