player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,1.7,63,1,8,24,33,7,63,5,2,40.0,3,60.0,29,164,75,2,2,1,7,0,36,10,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,1075,93,456,550,76,10,1075,9,7,77.8,2,22.2,561,3169,1737,18,16,1,6,3,610,12,Matches
Amir Abrashi,al ALB,MF,Freiburg,29,1990,7.4,425,24,137,232,58,4,425,5,3,60.0,2,40.0,236,1014,401,8,4,0,18,3,250,13,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,10.6,813,19,190,452,172,11,813,10,4,40.0,6,60.0,430,1993,862,11,9,2,7,9,548,49,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,8.3,287,6,25,119,147,41,287,21,10,47.6,11,52.4,178,1313,527,19,9,7,28,19,200,67,Matches
Manuel Akanji,ch SUI,DF,Dortmund,24,1995,25.7,2148,170,1025,1055,72,10,2148,7,6,85.7,1,14.3,1443,7119,3766,18,12,0,15,6,1646,6,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,12.7,916,130,504,398,22,2,916,3,2,66.7,1,33.3,530,2637,1416,7,2,0,11,9,610,5,Matches
David Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,2691,145,943,1538,232,12,2691,9,7,77.8,2,22.2,1907,12192,7412,69,28,3,16,4,2060,42,Matches
Lucas Alario,ar ARG,FW,Leverkusen,26,1992,13.0,453,11,24,213,221,78,452,18,13,72.2,5,27.8,247,1027,231,7,5,8,35,17,341,63,Matches
Paco Alcácer,es ESP,FW,Dortmund,25,1993,5.9,163,2,9,75,79,26,163,5,2,40.0,3,60.0,78,207,55,1,2,1,12,5,110,37,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,19.7,2029,47,358,1364,334,23,2029,83,71,85.5,12,14.5,1250,5577,2677,27,35,7,28,19,1507,43,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,20.6,1355,15,158,712,504,50,1355,44,30,68.2,14,31.8,723,4405,2166,53,43,13,41,19,905,95,Matches
Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,0.9,94,9,38,54,2,1,94,0,0,,0,,64,340,237,0,0,0,0,0,70,0,Matches
Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,5.6,201,5,31,69,108,22,201,39,19,48.7,20,51.3,140,1089,520,23,10,13,28,10,138,50,Matches
Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,29.8,1167,42,80,524,573,120,1165,52,21,40.4,31,59.6,637,2876,854,34,29,12,94,67,937,204,Matches
Robert Andrich,de GER,MF,Union Berlin,24,1994,28.6,1542,60,350,897,312,28,1542,41,28,68.3,13,31.7,768,3284,1325,25,22,5,36,17,831,31,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,12.2,881,24,187,396,303,26,881,25,20,80.0,5,20.0,430,2075,1099,24,16,12,15,6,518,92,Matches
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,27.4,1153,20,175,494,509,78,1153,70,35,50.0,35,50.0,693,5597,2767,114,59,45,63,40,713,155,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,23.5,1861,42,318,1297,260,23,1861,24,14,58.3,10,41.7,953,4156,1876,14,22,1,28,19,1325,19,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,31.3,1818,54,331,1052,459,22,1818,29,19,65.5,10,34.5,917,4175,2111,35,25,1,33,29,1044,48,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,7.0,409,21,120,257,38,0,409,10,7,70.0,3,30.0,162,805,314,3,3,0,7,3,188,3,Matches
Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,25,1994,10.3,656,29,180,273,213,16,656,11,8,72.7,3,27.3,339,1406,738,24,13,3,18,8,351,62,Matches
Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,21,1997,5.4,179,3,20,81,83,31,179,15,8,53.3,7,46.7,117,827,386,12,8,6,21,4,128,43,Matches
Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,30.3,2051,117,850,1010,210,26,2051,18,14,77.8,4,22.2,1144,6618,4266,52,25,2,10,4,1358,25,Matches
Matthias Bader,de GER,DF,Köln,22,1997,0.1,10,1,5,4,1,0,10,0,0,,0,,6,34,18,0,1,0,0,0,5,1,Matches
Daniel Baier,de GER,MF,Augsburg,35,1984,21.6,1093,44,310,661,142,2,1093,14,10,71.4,4,28.6,554,2461,1090,7,15,1,18,9,543,12,Matches
Leon Bailey,jm JAM,"FW,MF",Leverkusen,21,1997,12.1,639,6,64,265,327,57,639,56,35,62.5,21,37.5,418,2922,1559,61,36,19,37,23,462,132,Matches
Lewis Baker,eng ENG,MF,Düsseldorf,24,1995,6.1,277,11,64,173,47,3,277,12,10,83.3,2,16.7,151,840,378,10,1,0,11,5,184,6,Matches
Ridle Baku,de GER,"DF,MF",Mainz 05,21,1998,26.1,1510,78,439,675,416,21,1510,59,33,55.9,26,44.1,803,4129,1884,42,40,6,40,22,805,118,Matches
Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,20,1999,1.5,143,10,56,86,2,0,143,1,0,0.0,1,100.0,78,369,144,1,1,0,0,1,114,0,Matches
Philipp Bargfrede,de GER,MF,Werder Bremen,30,1989,6.5,345,21,90,207,49,5,345,6,5,83.3,1,16.7,202,818,363,2,1,0,9,2,200,4,Matches
Aymen Barkok,ma MAR,"FW,MF",Düsseldorf,21,1998,0.9,42,2,12,20,10,0,42,1,0,0.0,1,100.0,17,83,13,0,2,0,3,0,21,3,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,19,2000,10.4,493,16,126,292,78,8,493,7,5,71.4,2,28.6,205,709,332,6,4,2,13,6,232,13,Matches
Fin Bartels,de GER,"MF,FW",Werder Bremen,32,1987,3.8,203,4,27,95,84,12,203,11,6,54.5,5,45.5,128,666,256,9,7,2,13,3,138,32,Matches
Oliver Batista-Meier,de GER,MF,Bayern Munich,18,2001,0.1,5,0,1,2,2,0,5,0,0,,0,,6,41,5,1,0,0,1,0,5,2,Matches
