team_title,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,team_id,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,games_played,season
Augsburg,43.911698,46.659608,37.720148,43.628491,134,221,43,43,45.495999999999995,15,4,15,49,-5.9083429999999995,121,6959,985,8446,899,34,2014
Bayer Leverkusen,49.155699,34.720386,48.397918,30.173724,246,108,62,37,55.3396,17,10,7,61,18.224194,119,6744,1226,6314,955,34,2014
Bayern Munich,66.2057452,21.9387286,61.6592562,20.4231716,388,83,80,18,73.6116,25,4,5,79,41.2360846,117,5163,913,14513,816,34,2014
Borussia Dortmund,53.863501,33.3963487,51.590161,31.8809557,292,112,47,42,58.0847,13,7,14,46,19.7092053,129,8055,1088,9499,884,34,2014
Borussia M.Gladbach,51.7415719,36.343299,49.4682319,33.312193,221,198,53,26,57.0078,19,9,6,66,16.1560389,130,8834,774,11309,948,34,2014
Eintracht Frankfurt,47.3697165,55.039228,44.3386045,52.765888,185,227,56,62,41.715,11,10,13,43,-8.4272835,132,7996,1015,7405,998,34,2014
FC Cologne,32.224092,40.519774,29.192985,37.488657,137,230,34,40,41.8221,9,13,12,40,-8.295672,134,11072,718,7710,851,34,2014
Freiburg,38.6880206,45.910677,31.8681816,44.395126999999995,229,232,36,47,43.0214,7,13,14,34,-12.526945399999999,135,8579,798,7500,958,34,2014
Hamburger SV,32.859179,55.829406999999996,30.585841,49.767442,138,185,25,50,33.5677,9,8,17,35,-19.181601,118,8113,1047,7010,986,34,2014
Hannover 96,36.429044,46.284096,34.15571,44.768539000000004,179,198,40,56,41.2505,9,10,15,37,-10.612829000000001,128,7524,836,8190,936,34,2014
Hertha Berlin,32.6564319,46.1981925,29.6253339,43.9249495,96,196,36,52,36.1052,9,8,17,35,-14.2996156,122,10156,953,5823,942,34,2014
Hoffenheim,49.963057,49.997862,46.17418,46.966765,207,206,49,55,46.0312,12,8,14,44,-0.792585,120,7969,1164,7349,936,34,2014
Mainz 05,43.912293,48.10898,40.123424,43.47968,183,196,45,47,44.928,9,13,12,40,-3.3562559999999992,125,8273,872,7956,1018,34,2014
Paderborn,36.079765,55.77042,35.321988,50.466006,147,233,31,65,36.1625,7,10,17,31,-15.144018,205,9115,883,6604,1060,34,2014
Schalke 04,41.2589158,46.961703,38.9855788,45.446144000000004,161,214,42,40,45.0723,13,9,12,48,-6.4605652000000005,124,8301,893,8818,994,34,2014
VfB Stuttgart,45.639776,48.0999922,44.882003,45.0688822,143,201,42,60,44.2593,9,9,16,36,-0.18687920000000013,133,8910,983,7647,874,34,2014
Werder Bremen,42.673755,52.3792689,39.560079,48.5903799,182,236,50,65,39.3774,11,10,13,43,-9.0303009,123,8115,981,5593,966,34,2014
Wolfsburg,58.347731,38.822021,55.316626,36.419255,172,164,72,38,59.9509,20,9,5,69,18.897371,131,7847,931,10039,1039,34,2014
Augsburg,42.390457,55.653332999999996,37.086008,50.349065,119,249,42,52,41.1768,9,11,14,38,-13.263057,121,9052,871,7723,846,34,2015
Bayer Leverkusen,52.907869,41.2358206,50.634697,35.9315606,243,165,56,40,56.664500000000004,18,6,10,60,14.7031364,119,7018,1183,7434,958,34,2015
Bayern Munich,77.04149699999999,20.7943774,70.221487,19.2788184,353,103,80,17,77.9685,28,4,2,88,50.9426686,117,5133,824,14083,800,34,2015
Borussia Dortmund,83.410238,29.1774931,78.844438,26.1465541,387,126,82,34,76.5776,24,6,4,78,52.6978839,129,6549,899,12603,891,34,2015
Borussia M.Gladbach,53.668954,49.069220800000004,50.637842,43.0070818,243,186,67,50,50.0596,17,4,13,55,7.630760199999999,130,7858,985,11353,997,34,2015
Darmstadt,39.0313309,51.061428,36.0002999,48.030395,139,269,38,53,39.4731,9,11,14,38,-12.030095099999999,127,10070,862,2950,724,34,2015
Eintracht Frankfurt,32.9494858,54.310386,31.4339388,50.521498,170,237,34,52,33.5309,9,9,16,36,-19.0875592,132,9052,883,7676,943,34,2015
FC Cologne,42.872219,44.428846,39.841118,41.397747,178,207,38,42,46.6273,10,13,11,43,-1.5566290000000005,134,9681,730,8126,838,34,2015
Hamburger SV,38.753566,51.185749,36.480482,47.3968717,149,208,40,46,38.6157,11,8,15,41,-10.9163897,118,8193,956,7767,1065,34,2015
Hannover 96,32.4291916,63.57609,30.1558623,58.27165,134,246,31,62,26.462699999999998,7,4,23,25,-28.115787700000002,128,9535,815,7371,938,34,2015
Hertha Berlin,35.895022,43.940926,33.621688,40.909831,147,181,42,42,44.1598,14,8,12,50,-7.288143,122,9180,754,9704,977,34,2015
Hoffenheim,39.554448,60.405556,35.007801,58.889996000000004,198,292,39,54,36.1666,9,10,15,37,-23.882195,120,9258,948,7816,972,34,2015
