player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Brenden Aaronson,us USA,MF,Union Berlin,22-346,2000,1.8,6,4,1,4,1,4,6,66.7,2,3,0,3,0,6,0,0,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-038,2003,0.4,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-119,2001,0.4,4,0,1,1,2,1,2,50.0,1,0,0,0,0,4,0,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-133,1993,1.6,3,2,0,2,1,1,2,50.0,1,2,0,2,0,3,2,0,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-258,2002,2.2,3,3,2,1,0,0,5,0.0,5,3,0,3,2,5,0,0,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-146,2000,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-220,1994,2.5,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,2,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-167,1995,1.0,4,2,2,1,1,2,2,100.0,0,6,2,4,1,5,4,0,Matches
Faride Alidou,de GER,"MF,DF",Köln,22-077,2001,1.3,2,1,0,2,0,1,2,50.0,1,1,0,1,3,5,1,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-341,1996,0.1,2,0,0,2,0,0,2,0.0,2,0,0,0,0,2,0,0,Matches
Robert Andrich,de GER,MF,Leverkusen,29-011,1994,1.6,0,0,0,0,0,0,2,0.0,2,4,1,3,3,3,5,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-075,1996,6.0,7,3,3,3,1,4,7,57.1,3,4,3,1,8,15,25,0,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-238,1994,3.4,3,1,2,0,1,1,4,25.0,3,3,1,2,0,3,3,1,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-129,1994,4.3,7,5,1,4,2,4,6,66.7,2,3,0,3,3,10,12,0,Matches
Arthur,br BRA,DF,Leverkusen,20-200,2003,0.4,2,2,1,0,1,2,2,100.0,0,0,0,0,0,2,1,0,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,28-327,1994,4.5,4,0,0,1,3,1,5,20.0,4,2,0,2,1,5,1,0,Matches
Noah Atubolu,de GER,GK,Freiburg,21-131,2002,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Matthias Bader,de GER,DF,Darmstadt 98,26-108,1997,3.9,7,5,4,3,0,5,10,50.0,5,6,2,4,6,13,4,0,Matches
Ridle Baku,de GER,"DF,FW",Wolfsburg,25-178,1998,2.9,5,3,4,1,0,3,8,37.5,5,6,0,6,4,9,8,0,Matches
Aymen Barkok,ma MAR,"DF,MF",Mainz 05,25-135,1998,1.2,3,2,1,1,1,2,3,66.7,1,1,0,1,0,3,1,0,Matches
