player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Brenden Aaronson,us USA,MF,Union Berlin,22-346,2000,4,3,158,1.8,0,0,0,0,0,0,2,1,0.0,0.0,0.2,0.2,0,5,8,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.0,0.57,0.00,0.00,,30.3,0,0.02,0.0,0.0,34,46,73.9,449,131,22,24,91.7,9,13,69.2,1,2,50.0,0.3,-0.2,1,1,0,0,3,1.71,3,0,0,0,0,0,1,0.57,1,0,0,0,0,0,6,4,1,4,1,4,6,66.7,2,3,0,3,0,6,0,0,62,2,7,29,26,3,62,6,0,0.0,6,100.0,36,129,50,1,0,0,0,39
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-038,2003,4,0,39,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,3,0.00,2.31,2.31,0.00,2.31,0.00,0.19,0.19,0.00,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.00,0.00,,,,0,,0.0,0.0,16,21,76.2,244,41,7,10,70.0,9,10,90.0,0,1,0.0,0.0,+0.9,1,4,2,0,1,2.31,1,0,0,0,0,0,1,2.31,1,0,0,0,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,33,0,1,17,15,3,33,4,0,0.0,4,100.0,19,92,33,0,1,1,1,18
Junior Adamu,at AUT,"FW,MF",Freiburg,22-119,2001,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.00,0.00,,,,0,,0.0,0.0,5,8,62.5,52,4,3,3,100.0,1,4,25.0,0,0,,0.0,0.0,0,0,0,0,1,2.31,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,4,0,1,1,2,1,2,50.0,1,0,0,0,0,4,0,0,18,0,2,12,5,1,18,2,0,0.0,1,50.0,9,30,1,0,0,4,1,10
Sargis Adamyan,am ARM,"FW,MF",Köln,30-133,1993,5,0,142,1.6,0,1,1,0,0,0,1,0,0.9,0.9,0.5,1.5,4,5,19,0.00,0.63,0.63,0.00,0.63,0.59,0.34,0.93,0.59,0.93,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,80.0,3.17,2.54,0.00,0.00,10.8,0,0.19,-0.9,-0.9,28,36,77.8,354,134,16,19,84.2,10,12,83.3,0,1,0.0,0.4,+0.5,3,3,1,0,7,4.41,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,0,2,1,1,2,50.0,1,2,0,2,0,3,2,0,60,2,6,25,30,10,60,1,1,100.0,0,0.0,33,174,90,2,0,6,1,31
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-258,2002,5,2,198,2.2,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,7,4,16,0.00,0.00,0.00,0.00,0.00,0.34,0.05,0.39,0.34,0.39,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,66.7,1.36,0.91,0.00,0.00,10.7,0,0.25,-0.8,-0.8,36,52,69.2,476,115,20,28,71.4,12,17,70.6,1,2,50.0,0.4,-0.1,1,3,0,0,2,0.90,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,3,3,2,1,0,0,5,0.0,5,3,0,3,2,5,0,0,86,0,13,39,37,10,86,10,4,40.0,5,50.0,60,416,177,4,4,8,8,60
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-146,2000,3,0,56,0.6,1,1,2,1,0,0,0,0,0.1,0.1,0.3,0.4,3,2,12,1.61,1.61,3.21,1.61,3.21,0.13,0.45,0.58,0.13,0.58,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.0,3.21,1.61,0.50,1.00,18.5,0,0.04,+0.9,+0.9,31,40,77.5,404,65,23,27,85.2,7,9,77.8,1,2,50.0,0.1,+0.7,2,1,0,0,6,9.64,4,0,1,1,0,0,1,1.61,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,44,0,4,24,16,5,44,2,2,100.0,0,0.0,26,181,118,2,1,2,0,40
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-220,1994,4,2,227,2.5,1,0,1,1,0,2,0,0,1.9,0.4,0.3,0.7,1,3,17,0.40,0.00,0.40,0.40,0.40,0.77,0.12,0.90,0.15,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,25.0,1.59,0.40,0.25,1.00,19.7,0,0.09,-0.9,+0.6,53,72,73.6,792,77,29,36,80.6,12,18,66.7,6,7,85.7,0.2,-0.3,5,1,1,0,5,1.98,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,2,0,97,1,7,45,46,20,95,1,0,0.0,1,100.0,52,180,63,2,0,6,1,70
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-167,1995,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.00,0.00,,,,0,,0.0,0.0,41,53,77.4,803,250,14,18,77.8,18,21,85.7,8,11,72.7,0.2,-0.1,1,5,0,0,3,2.97,1,0,1,0,1,0,0,0.00,0,0,0,0,0,0,4,2,2,1,1,2,2,100.0,0,6,2,4,1,5,4,0,73,7,26,35,12,1,73,2,1,50.0,1,50.0,36,190,76,1,1,1,0,45
Faride Alidou,de GER,"MF,DF",Köln,22-077,2001,4,0,118,1.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,5,14,0.00,0.00,0.00,0.00,0.00,0.16,0.01,0.17,0.16,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50.0,3.05,1.53,0.00,0.00,17.4,0,0.05,-0.2,-0.2,29,43,67.4,350,76,17,21,81.0,8,12,66.7,1,6,16.7,0.1,0.0,1,1,1,0,3,2.29,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2,1,0,2,0,1,2,50.0,1,1,0,1,3,5,1,0,70,1,6,30,35,5,70,10,2,20.0,6,60.0,45,316,147,3,2,3,5,45
Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-341,1996,3,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,6,50.0,35,12,0,0,,2,3,66.7,0,0,,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,0,2,0,0,2,0.0,2,0,0,0,0,2,0,0,10,1,4,3,5,0,10,1,1,100.0,0,0.0,4,67,47,0,0,2,0,4
