player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Brenden Aaronson,us USA,MF,Union Berlin,22-346,2000,1.8,3,1.71,3,0,0,0,0,0,1,0.57,1,0,0,0,0,0,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-038,2003,0.4,1,2.31,1,0,0,0,0,0,1,2.31,1,0,0,0,0,0,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-119,2001,0.4,1,2.31,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-133,1993,1.6,7,4.41,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-258,2002,2.2,2,0.90,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-146,2000,0.6,6,9.64,4,0,1,1,0,0,1,1.61,1,0,0,0,0,0,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-220,1994,2.5,5,1.98,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-167,1995,1.0,3,2.97,1,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Faride Alidou,de GER,"MF,DF",Köln,22-077,2001,1.3,3,2.29,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-341,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert Andrich,de GER,MF,Leverkusen,29-011,1994,1.6,2,1.29,2,0,0,0,0,0,1,0.64,1,0,0,0,0,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-075,1996,6.0,5,0.83,5,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-238,1994,3.4,8,2.36,6,1,0,1,0,0,1,0.30,1,0,0,0,0,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-129,1994,4.3,8,1.85,4,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arthur,br BRA,DF,Leverkusen,20-200,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,28-327,1994,4.5,16,3.53,11,0,2,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Noah Atubolu,de GER,GK,Freiburg,21-131,2002,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matthias Bader,de GER,DF,Darmstadt 98,26-108,1997,3.9,10,2.56,9,0,0,0,1,0,1,0.26,1,0,0,0,0,0,Matches
Ridle Baku,de GER,"DF,FW",Wolfsburg,25-178,1998,2.9,10,3.42,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
