player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Brenden Aaronson,us USA,MF,Union Berlin,22-346,2000,1.8,34,46,73.9,449,131,22,24,91.7,9,13,69.2,1,2,50.0,0,0.2,0.3,-0.2,1,1,0,0,5,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-038,2003,0.4,16,21,76.2,244,41,7,10,70.0,9,10,90.0,0,1,0.0,1,0.1,0.0,+0.9,1,4,2,0,4,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-119,2001,0.4,5,8,62.5,52,4,3,3,100.0,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-133,1993,1.6,28,36,77.8,354,134,16,19,84.2,10,12,83.3,0,1,0.0,1,0.5,0.4,+0.5,3,3,1,0,5,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-258,2002,2.2,36,52,69.2,476,115,20,28,71.4,12,17,70.6,1,2,50.0,0,0.1,0.4,-0.1,1,3,0,0,4,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-146,2000,0.6,31,40,77.5,404,65,23,27,85.2,7,9,77.8,1,2,50.0,1,0.3,0.1,+0.7,2,1,0,0,2,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-220,1994,2.5,53,72,73.6,792,77,29,36,80.6,12,18,66.7,6,7,85.7,0,0.3,0.2,-0.3,5,1,1,0,3,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-167,1995,1.0,41,53,77.4,803,250,14,18,77.8,18,21,85.7,8,11,72.7,0,0.1,0.2,-0.1,1,5,0,0,6,Matches
Faride Alidou,de GER,"MF,DF",Köln,22-077,2001,1.3,29,43,67.4,350,76,17,21,81.0,8,12,66.7,1,6,16.7,0,0.0,0.1,0.0,1,1,1,0,5,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-341,1996,0.1,3,6,50.0,35,12,0,0,,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Robert Andrich,de GER,MF,Leverkusen,29-011,1994,1.6,102,119,85.7,1596,458,45,47,95.7,40,51,78.4,9,9,100.0,0,0.0,0.1,0.0,0,11,1,0,11,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-075,1996,6.0,380,443,85.8,7268,2518,115,122,94.3,239,257,93.0,24,57,42.1,1,0.1,0.2,+0.9,1,27,0,0,29,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-238,1994,3.4,76,117,65.0,1166,319,45,51,88.2,22,39,56.4,8,19,42.1,0,0.7,1.0,-0.7,4,3,5,1,6,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-129,1994,4.3,168,204,82.4,3350,818,62,68,91.2,75,85,88.2,29,45,64.4,0,1.1,0.5,-1.1,7,15,0,0,13,Matches
Arthur,br BRA,DF,Leverkusen,20-200,2003,0.4,20,22,90.9,341,56,11,11,100.0,4,5,80.0,4,4,100.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,28-327,1994,4.5,48,73,65.8,706,167,29,36,80.6,15,20,75.0,2,5,40.0,0,0.2,0.2,-0.2,7,5,3,0,12,Matches
Noah Atubolu,de GER,GK,Freiburg,21-131,2002,6.0,181,273,66.3,5196,3746,33,33,100.0,89,89,100.0,59,151,39.1,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Matthias Bader,de GER,DF,Darmstadt 98,26-108,1997,3.9,137,190,72.1,2673,796,49,60,81.7,72,87,82.8,15,32,46.9,1,1.6,2.0,-0.6,6,6,5,2,9,Matches
Ridle Baku,de GER,"DF,FW",Wolfsburg,25-178,1998,2.9,147,190,77.4,2533,809,56,66,84.8,77,95,81.1,11,20,55.0,0,0.7,0.7,-0.7,6,8,4,3,15,Matches
Aymen Barkok,ma MAR,"DF,MF",Mainz 05,25-135,1998,1.2,47,67,70.1,783,321,22,28,78.6,21,27,77.8,2,7,28.6,0,0.0,0.1,0.0,2,6,1,1,5,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-273,2000,5.9,144,190,75.8,2364,642,66,84,78.6,65,78,83.3,11,18,61.1,0,0.3,0.2,-0.3,4,13,3,0,18,Matches
