player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Brenden Aaronson,us USA,MF,Union Berlin,23-065,2000,11,4,327,3.6,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.4,4,9,18,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-122,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-203,2001,12,0,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-217,1993,5,0,142,1.6,0,1,1,0,0,0,1,0,0.9,0.9,0.5,1.5,4,5,19,0.00,0.63,0.63,0.00,0.63,0.59,0.34,0.93,0.59,0.93,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-342,2002,11,3,370,4.1,0,1,1,0,0,0,2,0,0.8,0.8,0.9,1.7,19,13,39,0.00,0.24,0.24,0.00,0.24,0.20,0.21,0.40,0.20,0.40,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-230,2000,11,2,265,2.9,1,3,4,1,0,0,1,0,0.5,0.5,0.6,1.2,15,15,45,0.34,1.02,1.36,0.34,1.36,0.18,0.22,0.39,0.18,0.39,Matches
Felix Agu,de GER,"MF,DF",Werder Bremen,24-090,1999,6,2,196,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,8,8,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.08,0.06,0.08,Matches
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-304,1994,13,10,878,9.8,1,0,1,1,0,2,2,0,4.5,2.9,0.7,3.6,3,11,57,0.10,0.00,0.10,0.10,0.10,0.46,0.07,0.53,0.30,0.37,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-251,1995,10,5,579,6.4,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,4,31,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Faride Alidou,de GER,"FW,MF",Köln,22-161,2001,9,1,271,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,11,9,31,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-060,1996,7,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,5,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,Matches
Kofi Amoako,de GER,MF,Wolfsburg,18-234,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Robert Andrich,de GER,"MF,DF",Leverkusen,29-095,1994,10,3,336,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,12,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-159,1996,16,16,"1,408",15.6,0,1,1,0,0,0,2,0,0.6,0.6,0.2,0.8,22,90,8,0.00,0.06,0.06,0.00,0.06,0.04,0.01,0.05,0.04,0.05,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-322,1994,14,5,637,7.1,1,1,2,1,0,0,3,0,1.4,1.4,2.3,3.7,25,15,74,0.14,0.14,0.28,0.14,0.28,0.20,0.32,0.53,0.20,0.53,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-213,1994,13,10,977,10.9,1,0,1,1,0,0,5,0,0.4,0.4,1.5,1.9,11,58,10,0.09,0.00,0.09,0.09,0.09,0.04,0.14,0.17,0.04,0.17,Matches
Arthur,br BRA,DF,Leverkusen,20-284,2003,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,29-046,1994,16,16,"1,178",13.1,5,1,6,5,0,0,1,0,4.8,4.8,0.9,5.7,29,22,87,0.38,0.08,0.46,0.38,0.46,0.37,0.07,0.43,0.37,0.43,Matches
Noah Atubolu,de GER,GK,Freiburg,21-215,2002,16,16,"1,440",16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-192,1997,12,10,885,9.8,1,1,2,1,0,0,1,0,0.4,0.4,2.0,2.3,17,35,33,0.10,0.10,0.20,0.10,0.20,0.04,0.20,0.24,0.04,0.24,Matches
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-262,1998,16,9,904,10.0,0,0,0,0,0,0,2,0,0.6,0.6,1.6,2.1,14,41,67,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.21,0.06,0.21,Matches
