player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Brenden Aaronson,us USA,MF,Union Berlin,22-346,2000,1.8,62,2,7,29,26,3,62,6,0,0.0,6,100.0,36,129,50,0,1,0,0,0,39,8,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-038,2003,0.4,33,0,1,17,15,3,33,4,0,0.0,4,100.0,19,92,33,2,0,1,1,1,18,3,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-119,2001,0.4,18,0,2,12,5,1,18,2,0,0.0,1,50.0,9,30,1,0,0,0,4,1,10,1,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-133,1993,1.6,60,2,6,25,30,10,60,1,1,100.0,0,0.0,33,174,90,4,2,0,6,1,31,19,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-258,2002,2.2,86,0,13,39,37,10,86,10,4,40.0,5,50.0,60,416,177,7,4,4,8,8,60,16,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-146,2000,0.6,44,0,4,24,16,5,44,2,2,100.0,0,0.0,26,181,118,3,2,1,2,0,40,12,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-220,1994,2.5,97,1,7,45,46,20,95,1,0,0.0,1,100.0,52,180,63,1,2,0,6,1,70,17,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-167,1995,1.0,73,7,26,35,12,1,73,2,1,50.0,1,50.0,36,190,76,1,1,1,1,0,45,4,Matches
Faride Alidou,de GER,"MF,DF",Köln,22-077,2001,1.3,70,1,6,30,35,5,70,10,2,20.0,6,60.0,45,316,147,7,3,2,3,5,45,14,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-341,1996,0.1,10,1,4,3,5,0,10,1,1,100.0,0,0.0,4,67,47,2,0,0,2,0,4,1,Matches
Robert Andrich,de GER,MF,Leverkusen,29-011,1994,1.6,134,6,31,74,30,2,134,0,0,,0,,66,243,98,1,3,0,2,2,105,5,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-075,1996,6.0,498,47,218,260,21,6,498,3,3,100.0,0,0.0,311,1942,1039,10,4,3,1,2,370,5,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-238,1994,3.4,153,2,18,37,99,14,153,5,0,0.0,4,80.0,78,597,316,12,5,3,3,4,99,36,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-129,1994,4.3,236,12,55,144,39,0,236,2,0,0.0,2,100.0,132,637,262,4,0,0,2,1,151,3,Matches
Arthur,br BRA,DF,Leverkusen,20-200,2003,0.4,26,1,6,7,13,0,26,0,0,,0,,14,125,90,2,2,0,0,0,16,4,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,28-327,1994,4.5,121,2,11,41,73,23,121,11,6,54.5,5,45.5,66,601,272,11,6,5,13,4,84,28,Matches
Noah Atubolu,de GER,GK,Freiburg,21-131,2002,6.0,280,224,279,1,0,0,280,0,0,,0,,178,979,554,0,0,0,0,0,152,0,Matches
Matthias Bader,de GER,DF,Darmstadt 98,26-108,1997,3.9,226,12,87,90,51,7,226,9,4,44.4,4,44.4,125,699,349,10,5,2,3,1,128,15,Matches
Ridle Baku,de GER,"DF,FW",Wolfsburg,25-178,1998,2.9,236,10,67,105,65,11,236,8,4,50.0,4,50.0,130,616,381,6,6,1,7,1,134,25,Matches
Aymen Barkok,ma MAR,"DF,MF",Mainz 05,25-135,1998,1.2,78,1,4,39,35,2,78,1,0,0.0,0,0.0,53,268,111,3,0,0,3,1,59,12,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-273,2000,5.9,247,6,65,133,53,17,247,3,2,66.7,1,33.3,105,349,138,4,3,1,13,3,142,10,Matches
Maximilian Bauer,de GER,DF,Augsburg,23-236,2000,4.2,270,32,172,94,5,2,270,0,0,,0,,173,806,466,0,0,0,0,0,179,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,33-123,1990,6.0,255,209,254,1,0,0,255,0,0,,0,,139,705,397,0,0,0,0,0,100,0,Matches
Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,24-063,1999,0.9,49,1,10,21,18,2,49,1,1,100.0,0,0.0,35,151,39,2,0,2,3,4,36,2,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-163,1994,4.1,185,7,31,59,97,14,185,14,3,21.4,9,64.3,101,440,246,9,6,4,14,0,112,31,Matches
Adrian Beck,de GER,MF,Heidenheim,26-116,1997,1.7,79,0,8,48,24,2,79,5,4,80.0,1,20.0,47,226,112,2,3,0,3,2,53,5,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-236,1995,2.8,151,3,13,52,88,15,151,5,2,40.0,3,60.0,82,694,378,16,9,3,5,1,101,33,Matches
Kevin Behrens,de GER,FW,Union Berlin,32-242,1991,5.6,184,9,19,73,94,30,184,3,2,66.7,1,33.3,85,318,83,1,5,1,9,7,137,37,Matches
Maximilian Beier,de GER,FW,Hoffenheim,20-351,2002,3.6,104,4,10,34,61,13,104,16,6,37.5,7,43.8,79,426,156,7,3,2,15,3,84,28,Matches
Stefan Bell,de GER,DF,Mainz 05,32-040,1991,4.1,253,20,117,125,12,3,253,2,2,100.0,0,0.0,140,517,201,0,0,0,0,0,166,1,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,28-170,1995,5.2,448,22,131,229,92,7,448,6,6,100.0,0,0.0,253,1156,560,9,13,0,8,1,292,23,Matches
Mergim Berisha,de GER,FW,Hoffenheim,25-145,1998,1.3,42,1,5,16,22,5,42,2,2,100.0,0,0.0,30,148,84,2,1,1,7,6,31,7,Matches
Mergim Berisha,de GER,FW,Augsburg,25-145,1998,1.4,28,4,5,9,14,3,28,2,0,0.0,2,100.0,18,96,53,3,1,1,1,1,20,5,Matches
Bernardo,br BRA,DF,Bochum,28-142,1995,6.0,393,56,171,202,23,3,393,1,1,100.0,0,0.0,163,992,539,4,4,0,3,0,185,4,Matches
Matúš Bero,sk SVK,MF,Bochum,28-027,1995,4.0,149,10,39,61,53,8,149,6,1,16.7,4,66.7,66,305,151,2,4,0,7,7,88,16,Matches
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24-272,1999,4.8,200,3,34,53,116,8,199,10,4,40.0,6,60.0,98,724,337,14,11,2,9,8,98,21,Matches
Tom Bischof,de GER,"FW,DF",Hoffenheim,18-097,2005,0.3,35,0,3,19,13,0,35,1,0,0.0,1,100.0,22,97,45,0,2,0,0,0,27,4,Matches
Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,29-288,1993,1.1,44,0,10,19,15,2,44,2,0,0.0,2,100.0,31,216,108,3,3,0,1,0,30,5,Matches
Janis Blaswich,de GER,GK,RB Leipzig,32-154,1991,6.0,298,224,290,9,0,0,298,0,0,,0,,197,735,366,0,0,0,1,0,173,0,Matches
Victor Boniface,ng NGA,FW,Leverkusen,22-284,2000,5.7,234,3,8,90,139,51,233,34,19,55.9,12,35.3,142,819,368,19,10,11,24,11,193,58,Matches
Leonardo Bonucci,it ITA,DF,Union Berlin,36-155,1987,1.7,104,5,43,60,1,0,104,0,0,,0,,66,263,167,0,0,0,0,0,69,0,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-132,2004,0.2,13,1,1,4,8,2,13,0,0,,0,,11,34,17,1,0,1,1,0,11,0,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-195,1999,0.0,3,0,3,0,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Rafael Borré,co COL,FW,Werder Bremen,28-018,1995,1.5,58,1,5,24,30,3,58,4,1,25.0,3,75.0,34,148,29,1,1,0,3,3,41,10,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,27-154,1996,5.5,304,3,34,95,177,18,304,16,7,43.8,9,56.3,162,1078,423,17,9,5,12,11,203,50,Matches
Tim Breithaupt,de GER,MF,Augsburg,21-238,2002,1.5,66,4,20,36,10,1,66,0,0,,0,,25,88,31,0,1,0,2,1,32,0,Matches
John Brooks,us USA,DF,Hoffenheim,30-248,1993,5.5,330,58,167,151,14,9,330,1,1,100.0,0,0.0,148,853,411,1,0,0,2,3,146,0,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,23-010,2000,0.8,8,0,0,7,1,0,8,0,0,,0,,5,10,5,0,0,0,1,1,5,1,Matches
Marius Bülter,de GER,"DF,MF",Hoffenheim,30-188,1993,2.8,148,4,24,53,71,14,148,6,3,50.0,2,33.3,71,392,187,4,5,4,3,4,91,24,Matches
Oliver Burke,sct SCO,FW,Werder Bremen,26-179,1997,0.4,13,0,1,10,2,0,13,1,1,100.0,0,0.0,7,51,24,2,1,0,0,0,6,1,Matches
Marnon Busch,de GER,DF,Heidenheim,28-299,1994,0.3,25,0,9,12,4,0,25,2,1,50.0,0,0.0,13,55,35,1,0,0,0,0,15,2,Matches
