player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Brenden Aaronson,us USA,MF,Union Berlin,23-065,2000,3.6,0,2,0,0.0,0.55,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-122,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-203,2001,1.1,0,2,1,50.0,1.89,0.95,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-217,1993,1.6,0,5,4,80.0,3.17,2.54,0.00,0.00,10.8,0,0,0,0.9,0.9,0.19,-0.9,-0.9,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-342,2002,4.1,0,5,2,40.0,1.22,0.49,0.00,0.00,14.4,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-230,2000,2.9,1,7,3,42.9,2.38,1.02,0.14,0.33,15.5,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Felix Agu,de GER,"MF,DF",Werder Bremen,24-090,1999,2.2,0,1,0,0.0,0.46,0.00,0.00,,12.7,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-304,1994,9.8,1,19,4,21.1,1.95,0.41,0.05,0.25,12.6,0,0,2,4.5,2.9,0.15,-3.5,-1.9,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-251,1995,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Faride Alidou,de GER,"FW,MF",Köln,22-161,2001,3.0,0,4,2,50.0,1.33,0.66,0.00,0.00,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-060,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Kofi Amoako,de GER,MF,Wolfsburg,18-234,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Robert Andrich,de GER,"MF,DF",Leverkusen,29-095,1994,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-159,1996,15.6,0,13,3,23.1,0.83,0.19,0.00,0.00,16.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
