index,ID,Name,Born,Position,Value,Squad,Zustand,Einsätze,Spieltagspunkte,Punkteschnitt,Punktetotal,nationality,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_goals_against,gk_pens_allowed,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_pct_launched,gk_pct_passes_launched,gk_passes_length_avg,gk_pct_goal_kicks_launched,gk_crosses_stopped_pct,gk_avg_distance_def_actions,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,npxg_per_shot,xg_net,npxg_net,passes_pct,passes_pct_short,passes_pct_medium,passes_pct_long,xg_assist_net,sca_per90,gca_per90,challenges,challenge_tackles_pct,blocks,blocked_shots,interceptions,clearances,errors,take_ons_won_pct,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
0,237,Manuel Neuer,1986,Torhüter,10.049.974,FC Bayern München,Aufbautraining,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,383,Sven Ulreich,1988,Torhüter,10.540.575,FC Bayern München,Fit,3,71.0,"88,00",264,de GER,6.0,540.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.34,-0.2,31.1,23.2,26.7,14.8,3.8,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.8,98.2,98.8,48.4,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,502.0,183.0,0.0,0.0,0.0,0.0,131.0
2,7264,Daniel Peretz,2000,Torhüter,1.178.002,FC Bayern München,Fit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4286,Matthijs de Ligt,1999,Abwehrspieler,27.049.023,FC Bayern München,Verletzung,3,20.0,"28,67",86,nl NED,1.0,85.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,0.0,1.06,0.0,1.06,1.06,1.06,0.31,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,3.18,1.06,0.33,0.1,0.7,0.7,92.3,100.0,97.2,63.6,0.0,1.05,0.0,1.0,100.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,203.0,83.0,1.0,0.0,2.0,0.0,55.0
5,1991,Dayot Upamecano,1998,Abwehrspieler,25.910.290,FC Bayern München,Fit,3,92.0,"111,67",335,fr FRA,5.0,495.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.3,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.55,0.18,0.0,0.08,-0.2,-0.2,94.2,97.0,93.5,92.2,0.0,1.09,0.0,10.0,60.0,3.0,0.0,2.0,16.0,0.0,0.0,0.0,2409.0,1410.0,3.0,0.0,3.0,1.0,417.0
6,6668,Minjae Kim,1996,Abwehrspieler,36.836.909,FC Bayern München,Fit,3,120.0,"106,00",318,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1862,Raphaël Guerreiro,1993,Abwehrspieler,20.465.710,FC Bayern München,Fit,0,0.0,0,0,pt POR,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,-0.1,-0.1,61.9,83.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,78.0,30.0,2.0,0.0,0.0,1.0,20.0
10,2366,Alphonso Davies,2000,Abwehrspieler,34.145.873,FC Bayern München,Fit,3,146.0,"210,00",630,ca CAN,6.0,514.0,5.7,0.0,3.0,3.0,0.0,0.0,0.0,0.1,0.1,1.2,1.3,33.0,33.0,0.0,0.53,0.53,0.0,0.53,0.02,0.22,0.24,0.02,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.05,-0.1,-0.1,88.5,89.2,94.8,62.5,1.8,4.55,1.05,10.0,50.0,6.0,0.0,8.0,8.0,0.0,59.5,35.1,2077.0,1251.0,26.0,13.0,12.0,5.0,326.0
11,6748,Frans Krätzig,2003,Abwehrspieler,4.247.708,FC Bayern München,Fit,0,0.0,0,0,de GER,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.46,3.46,0.0,0.09,-0.1,-0.1,100.0,100.0,100.0,100.0,0.0,3.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,16.0,0.0,0.0,1.0,0.0,16.0
12,2915,Bouna Sarr,1992,Abwehrspieler,1.448.187,FC Bayern München,Fit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
