,ID,Name,Team,Position,Marktwert,Trend,Bild,Status,Punkteschnitt,Punktetotal,UserID,TeamID,TeamCover
0,4545,Paxten Aaronson,Frankfurt,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/4545.png,0,11,80,None,4,https://kickbase.b-cdn.net/team/2013/07/30/80fe7ac3b0f643e2af669f6f77f4a5a6.jpg
1,6312,Brenden Aaronson,Union,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/6312.png,0,3,38,None,40,None
2,2309,Kasim Adams,Hoffenheim,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2309.png,0,0,0,None,14,https://kickbase.b-cdn.net/team/2013/07/30/e2f816c2f6de4273945bcf96c70fcff7.jpg
3,6172,Junior Adamu,Freiburg,4,2384727.0,1,https://kickbase.b-cdn.net/pool/playersbig/6172.png,0,2,23,None,5,https://kickbase.b-cdn.net/team/2013/07/30/087b1e89dc5d440681b4467e659ffb06.jpg
4,2426,Sargis Adamyan,Köln,4,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2426.png,1,7,36,None,28,None
5,3482,Karim Adeyemi,Dortmund,4,8403880.0,2,https://kickbase.b-cdn.net/pool/playersbig/3482.png,1,18,202,None,3,https://kickbase.b-cdn.net/team/2013/07/30/0abbc3334029438b9ffc564f2923886b.jpg
6,4600,Ludovic Ajorque,Mainz 05,4,2836715.0,2,https://kickbase.b-cdn.net/pool/playersbig/4600.png,0,20,262,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
7,3132,Amine Adli,Bayer 04,4,6551584.0,2,https://kickbase.b-cdn.net/pool/playersbig/3132.png,256,62,684,None,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
8,2842,Felix Agu,Bremen,2,500000.0,2,https://kickbase.b-cdn.net/pool/playersbig/2842.png,0,15,92,None,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
9,6174,Arthur Augusto de Matos Soares,Bayer 04,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/6174.png,1,40,80,None,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
10,2079,Takuma Asano,Bochum,4,7158888.0,2,https://kickbase.b-cdn.net/pool/playersbig/2079.png,256,61,969,None,24,None
11,96,Kevin Akpoguma,Hoffenheim,2,2065184.0,2,https://kickbase.b-cdn.net/pool/playersbig/96.png,0,40,402,None,14,https://kickbase.b-cdn.net/team/2013/07/30/e2f816c2f6de4273945bcf96c70fcff7.jpg
12,2450,Matthias Bader,Darmstadt,2,1289612.0,2,https://kickbase.b-cdn.net/pool/playersbig/2450.png,0,56,677,2073012,42,None
13,3019,Noah Atubolu,Freiburg,1,10598491.0,2,https://kickbase.b-cdn.net/pool/playersbig/3019.png,0,84,1336,2222409,5,https://kickbase.b-cdn.net/team/2013/07/30/087b1e89dc5d440681b4467e659ffb06.jpg
14,4520,Samuel Bamba,Dortmund,4,5895620.0,1,https://kickbase.b-cdn.net/pool/teamsdummies/3.png,0,16,31,None,3,https://kickbase.b-cdn.net/team/2013/07/30/0abbc3334029438b9ffc564f2923886b.jpg
15,2141,Bote Baku,Wolfsburg,2,9107137.0,2,https://kickbase.b-cdn.net/pool/playersbig/2141.png,2,45,725,None,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
16,1971,Aymane Barkok,Mainz 05,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/1971.png,0,13,165,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
17,2335,Leandro Barreiro,Mainz 05,3,7271555.0,1,https://kickbase.b-cdn.net/pool/playersbig/2335.png,0,71,999,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
18,577,Daniel Batz,Mainz 05,1,3745193.0,2,https://kickbase.b-cdn.net/pool/playersbig/577.png,0,75,300,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
19,3481,Jens Stage,Bremen,3,10758538.0,1,https://kickbase.b-cdn.net/pool/playersbig/3481.png,0,77,1236,2221997,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
20,2300,Josip Stanisic,Bayer 04,2,10859956.0,1,https://kickbase.b-cdn.net/pool/playersbig/2300.png,0,64,386,2222233,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
21,619,Kevin Stöger,Bochum,3,19946604.0,1,https://kickbase.b-cdn.net/pool/playersbig/619.png,0,120,1793,None,24,None
22,157,Niklas Stark,Bremen,2,4340638.0,2,https://kickbase.b-cdn.net/pool/playersbig/157.png,0,72,573,None,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
23,1758,Pascal Stenzel,Stuttgart,2,21002919.0,1,https://kickbase.b-cdn.net/pool/playersbig/1758.png,0,129,1422,88352,9,https://kickbase.b-cdn.net/team/2013/07/30/eea01bf0ab1145059d44f2585b352081.jpg
24,7257,Leonidas Stergiou,Stuttgart,2,2499273.0,2,https://kickbase.b-cdn.net/pool/playersbig/7257.png,0,9,44,None,9,https://kickbase.b-cdn.net/team/2013/07/30/eea01bf0ab1145059d44f2585b352081.jpg
25,2694,Angelo Stiller,Stuttgart,3,22597345.0,1,https://kickbase.b-cdn.net/pool/playersbig/2694.png,0,128,1917,2221997,9,https://kickbase.b-cdn.net/team/2013/07/30/eea01bf0ab1145059d44f2585b352081.jpg
26,6746,Attila Szalai,Hoffenheim,2,2126286.0,2,https://kickbase.b-cdn.net/pool/playersbig/6746.png,0,31,122,None,14,https://kickbase.b-cdn.net/team/2013/07/30/e2f816c2f6de4273945bcf96c70fcff7.jpg
27,173,Jonathan Tah,Bayer 04,2,28118469.0,1,https://kickbase.b-cdn.net/pool/playersbig/173.png,0,138,2076,None,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
28,4266,Mattias Svanberg,Wolfsburg,3,10016358.0,1,https://kickbase.b-cdn.net/pool/playersbig/4266.png,0,82,1231,88352,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
29,163,Niklas Süle,Dortmund,2,11407496.0,2,https://kickbase.b-cdn.net/pool/playersbig/163.png,0,66,721,2221997,3,https://kickbase.b-cdn.net/team/2013/07/30/0abbc3334029438b9ffc564f2923886b.jpg
30,7303,Japhet Tanganga,Augsburg,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/7303.png,0,0,0,2626903,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
31,2783,Edmond Tapsoba,Bayer 04,2,21725109.0,2,https://kickbase.b-cdn.net/pool/playersbig/2783.png,256,114,1595,None,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
32,7269,Nathan Tella,Bayer 04,3,4150582.0,1,https://kickbase.b-cdn.net/pool/playersbig/7269.png,0,39,314,None,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
33,2765,Jan Thielmann,Köln,4,3071963.0,2,https://kickbase.b-cdn.net/pool/playersbig/2765.png,0,39,274,None,28,None
34,4314,Mathys Tel,Bayern,4,11010869.0,2,https://kickbase.b-cdn.net/pool/playersbig/4314.png,0,72,791,None,2,https://kickbase.b-cdn.net/team/2013/07/30/3ebe44c53c3f4c87bd605da69e743fb8.jpg
35,2273,Niclas Thiede,Bochum,1,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2273.png,2,0,0,None,24,None
36,699,Norman Theuerkauf,Heidenheim,2,1763553.0,1,https://kickbase.b-cdn.net/pool/playersbig/699.png,0,43,514,2073012,50,None
37,2749,Steffen Tigges,Köln,4,1974488.0,1,https://kickbase.b-cdn.net/pool/playersbig/2749.png,0,16,178,2221997,28,None
