ID,Name,Born,Position,Value,Squad,Zustand,Stats,Einsätze,Spieltagspunkte,Punkteschnitt,Punktetotal
237,Manuel Neuer,1986,Torhüter, 0 ⌀  ,FC Bayern München,Fit,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0,0,0,0
383,Sven Ulreich,1988,Torhüter," 0,23 ⌀ (2) ",FC Bayern München,Fit,"{'Abgewehrte Schüsse': '58,8%', 'Paraden': '0,7', 'Weiße Weste': '3', 'Strafraum-beherrschung': '50,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '25,0%', 'Fehler vor Schuss/Gegentor': '0,23'}",3,71,"88,00",264
7264,Daniel Peretz,2000,Torhüter, 0 ⌀  ,FC Bayern München,Fit,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0,0,0,0
0,Tom Ritzy Hülsmann,2004,Torhüter, 0 ⌀  ,FC Bayern München,Angeschlagen,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0,0,0,0
4286,Matthijs de Ligt,1999,Abwehrspieler," 0,45 ⌀ (1) ",FC Bayern München,Fit,"{'Passquote': '90,6%', 'Zweikampfquote': '56,5%', 'Luftkämpfe': '62,5%', 'Tacklingquote': '100,0%', 'Begangene Fouls': '1,78', 'Geklärte Bälle': '4,9', 'Abgefangene Bälle': '0,89', 'Balleroberungen': '0,45', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '1,34', 'Schussgenauigkeit': '75,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,45'}",3,20,"28,67",86
1991,Dayot Upamecano,1998,Abwehrspieler, 0 ⌀  ,FC Bayern München,Aufbautraining,"{'Passquote': '95,0%', 'Zweikampfquote': '60,0%', 'Luftkämpfe': '82,4%', 'Tacklingquote': '30,8%', 'Begangene Fouls': '1,33', 'Geklärte Bälle': '2,51', 'Abgefangene Bälle': '0,59', 'Balleroberungen': '0,59', 'Ballverluste': '0,3', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0,15', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,3', 'Schussgenauigkeit': '66,7%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",3,92,"111,67",335
6668,Minjae Kim,1996,Abwehrspieler," 0,5 ⌀ (4) ",FC Bayern München,Fit,"{'Passquote': '93,0%', 'Zweikampfquote': '56,1%', 'Luftkämpfe': '70,0%', 'Tacklingquote': '28,6%', 'Begangene Fouls': '1,24', 'Geklärte Bälle': '2,73', 'Abgefangene Bälle': '1,49', 'Balleroberungen': '0,5', 'Ballverluste': '0,25', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0,5', 'Kreierte Großchancen': '0,12', 'Schüsse aufs Tor': '0,25', 'Schussgenauigkeit': '100,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,5'}",3,120,"106,00",318
0,Tarek Buchmann,2005,Abwehrspieler, 0 ⌀  ,FC Bayern München,Aufbautraining,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
1862,Raphaël Guerreiro,1993,Abwehrspieler, 0 ⌀  ,FC Bayern München,Aufbautraining,"{'Passquote': '61,9%', 'Zweikampfquote': '66,7%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '100,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '1,73', 'Abgefangene Bälle': '0', 'Balleroberungen': '1,73', 'Ballverluste': '1,73', 'Erfolgreiche Dribblings': '100,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
2366,Alphonso Davies,2000,Abwehrspieler," 0,12 ⌀ (1) ",FC Bayern München,Fit,"{'Passquote': '89,0%', 'Zweikampfquote': '52,7%', 'Luftkämpfe': '66,7%', 'Tacklingquote': '22,2%', 'Begangene Fouls': '0,97', 'Geklärte Bälle': '1,22', 'Abgefangene Bälle': '0,97', 'Balleroberungen': '0,49', 'Ballverluste': '3,04', 'Erfolgreiche Dribblings': '56,5%', 'Torschussvorlagen': '1,95', 'Kreierte Großchancen': '0,12', 'Schüsse aufs Tor': '0,24', 'Schussgenauigkeit': '50,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,12'}",3,146,"210,00",630
