ID,Name,Team,birth_year,Stats,Einsatzquote
97,Niklas Lomb,Bayer 04 Leverkusen,1993,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0
1761,Lukáš Hrádecký,Bayer 04 Leverkusen,1989,"{'Abgewehrte Schüsse': '72,5%', 'Paraden': '1,92', 'Weiße Weste': '4', 'Strafraum-beherrschung': '100,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '34,8%', 'Fehler vor Schuss/Gegentor': '0,05'}",66
7241,Matěj Kovář,Bayer 04 Leverkusen,2000,"{'Abgewehrte Schüsse': '72,7%', 'Paraden': '1,57', 'Weiße Weste': '2', 'Strafraum-beherrschung': '100,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '33,3%', 'Fehler vor Schuss/Gegentor': '0'}",34
173,Jonathan Tah,Bayer 04 Leverkusen,1996,"{'Passquote': '93,6%', 'Zweikampfquote': '65,2%', 'Luftkämpfe': '76,2%', 'Tacklingquote': '63,6%', 'Begangene Fouls': '0,38', 'Geklärte Bälle': '3,75', 'Abgefangene Bälle': '0,9', 'Balleroberungen': '0,3', 'Ballverluste': '0,26', 'Erfolgreiche Dribblings': '50,0%', 'Torschussvorlagen': '0,13', 'Kreierte Großchancen': '0,04', 'Schüsse aufs Tor': '0,47', 'Schussgenauigkeit': '68,8%', 'Fehler vor Schuss/Gegentor': '0,09', 'Geblockte Bälle': '0,56'}",97
2783,Edmond Tapsoba,Bayer 04 Leverkusen,1999,"{'Passquote': '86,3%', 'Zweikampfquote': '53,7%', 'Luftkämpfe': '61,3%', 'Tacklingquote': '40,8%', 'Begangene Fouls': '1,08', 'Geklärte Bälle': '2,71', 'Abgefangene Bälle': '0,95', 'Balleroberungen': '0,86', 'Ballverluste': '0,56', 'Erfolgreiche Dribblings': '57,9%', 'Torschussvorlagen': '0,13', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,3', 'Schussgenauigkeit': '36,8%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,52'}",89
3860,Mario Hermoso,Bayer 04 Leverkusen,1995,"{'Passquote': '84,2%', 'Zweikampfquote': '58,3%', 'Luftkämpfe': '71,4%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '1,42', 'Geklärte Bälle': '3,54', 'Abgefangene Bälle': '1,42', 'Balleroberungen': '0', 'Ballverluste': '0,71', 'Erfolgreiche Dribblings': '50,0%', 'Torschussvorlagen': '0,71', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '1,42', 'Schussgenauigkeit': '100,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",41
3128,Piero Hincapié,Bayer 04 Leverkusen,2002,"{'Passquote': '88,4%', 'Zweikampfquote': '56,6%', 'Luftkämpfe': '53,6%', 'Tacklingquote': '62,0%', 'Begangene Fouls': '0,96', 'Geklärte Bälle': '2,44', 'Abgefangene Bälle': '1,18', 'Balleroberungen': '1,35', 'Ballverluste': '0,52', 'Erfolgreiche Dribblings': '11,1%', 'Torschussvorlagen': '0,44', 'Kreierte Großchancen': '0,09', 'Schüsse aufs Tor': '0,26', 'Schussgenauigkeit': '42,9%', 'Fehler vor Schuss/Gegentor': '0,04', 'Geblockte Bälle': '0,96'}",82
8225,Jeanuël Belocian,Bayer 04 Leverkusen,2005,"{'Passquote': '85,0%', 'Zweikampfquote': '70,0%', 'Luftkämpfe': '33,3%', 'Tacklingquote': '100,0%', 'Begangene Fouls': '1,15', 'Geklärte Bälle': '2,31', 'Abgefangene Bälle': '0', 'Balleroberungen': '1,15', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '100,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",6
6173,Alejandro Grimaldo,Bayer 04 Leverkusen,1995,"{'Passquote': '81,7%', 'Zweikampfquote': '46,0%', 'Luftkämpfe': '60,0%', 'Tacklingquote': '22,9%', 'Begangene Fouls': '0,47', 'Geklärte Bälle': '1,27', 'Abgefangene Bälle': '0,61', 'Balleroberungen': '0,38', 'Ballverluste': '1,64', 'Erfolgreiche Dribblings': '33,3%', 'Torschussvorlagen': '2,68', 'Kreierte Großchancen': '0,33', 'Schüsse aufs Tor': '1,08', 'Schussgenauigkeit': '67,6%', 'Fehler vor Schuss/Gegentor': '0,09', 'Geblockte Bälle': '0,24'}",86
2241,Nordi Mukiele,Bayer 04 Leverkusen,1997,"{'Passquote': '80,7%', 'Zweikampfquote': '49,1%', 'Luftkämpfe': '41,2%', 'Tacklingquote': '56,2%', 'Begangene Fouls': '0,72', 'Geklärte Bälle': '2,87', 'Abgefangene Bälle': '1,29', 'Balleroberungen': '1,29', 'Ballverluste': '1,15', 'Erfolgreiche Dribblings': '40,0%', 'Torschussvorlagen': '0,57', 'Kreierte Großchancen': '0,14', 'Schüsse aufs Tor': '0,29', 'Schussgenauigkeit': '66,7%', 'Fehler vor Schuss/Gegentor': '0,14', 'Geblockte Bälle': '0,43'}",38
