,ID,Name,Value
0,4054545580070277857,Manuel Neuer,10.713.147
1,-3473289966010202651,Sven Ulreich,9.573.808
2,-4608651663238444264,Daniel Peretz,-
3,-773236612807877069,Tom Ritzy Hülsmann,-
4,-7154471924548143018,Benjamin Pavard,27.700.905
5,1222020555924976620,Matthijs de Ligt,38.257.981
6,-322087848503982871,Dayot Upamecano,23.077.506
7,5610802600828348181,Minjae Kim,38.947.993
8,4097796031794745174,Gabriel Marušić,-
9,-1428465748239507516,Tarek Buchmann,-
10,-7084797705853361863,Raphaël Guerreiro,23.120.801
11,4503542847469574226,Alphonso Davies,31.517.166
12,3234619866244011197,Frans Krätzig,-
13,507309882072090378,Bouna Sarr,500.000
14,7445559655816220066,Noussair Mazraoui,19.796.780
15,7144501379859565581,Joshua Kimmich,54.279.184
16,4479921804150420908,Aleksandar Pavlović,-
17,-430523237376187801,Leon Goretzka,25.871.289
18,-5323210607681131841,Konrad Laimer,21.778.761
19,6561335827766844533,Ryan Gravenberch,4.756.541
20,-7899669860308237438,Thomas Müller,30.296.483
21,5132132665783542073,Jamal Musiala,51.870.994
22,1637369547163620506,Gabriel Vidović,500.000
23,3077028810830665196,Arijon Ibrahimović,2.110.194
24,8951211983093546788,Paul Wanner,727.704
25,-4170134852943706341,Kingsley Coman,41.679.641
26,-7894049519632654799,Leroy Sané,42.722.358
27,868928110937946313,Serge Gnabry,40.055.821
28,-3224485959204249244,Eric-Maxim Choupo-Moting,10.071.852
29,4348550822584854388,Harry Kane,54.772.669
30,5554396357768091762,Mathys Tel,11.382.569
31,-3603792764429965681,Gregor Kobel,27.403.580
32,5416135078367037070,Alexander Meyer,2.934.056
33,6971176814839460886,Marcel Lotka,500.000
34,-4850408037489516045,Silas Ostrzinski,-
35,2003220424068241194,Mats Hummels,23.418.599
36,-3787389069661134329,Niklas Süle,29.081.969
37,6423185680959997314,Nico Schlotterbeck,33.027.223
38,4279431145898321169,Antonios Papadopoulos,500.000
39,738155073651000406,Ramy Bensebaini,31.852.215
40,7430906682480258956,Thomas Meunier,500.000
41,-2312187607418257338,Marius Wolf,14.629.151
42,-1270390847730801405,Mateu Morey Bauzà,1.360.344
43,4918407522955437738,Julian Ryerson,20.735.812
44,-3676305709345328849,Emre Can,27.524.067
45,4868321568008252952,Salih Özcan,5.654.781
46,-8547041172037574549,Abdoulaye Kamara,500.000
47,-7151826561809891638,Marcel Sabitzer,21.714.612
48,984720251587953231,Marco Reus,24.176.266
49,-2482621136330550560,Julian Brandt,42.090.522
50,4632618491035451134,Giovanni Reyna,4.430.936
51,-8173838520725528766,Felix Nmecha,20.229.528
52,2512702487146953261,Ole Pohlmann,-
53,-8948541233594034254,Thorgan Hazard,4.046.970
54,-6252874203869707214,Jamie Bynoe-Gittens,5.609.979
55,839243101314952494,Julien Duranville,3.146.077
56,-3595433037743459617,Sébastien Haller,36.936.405
57,-274845021289672202,Donyell Malen,36.211.729
58,-6840540165864906044,Karim Adeyemi,33.116.539
59,4044043414747866867,Youssoufa Moukoko,12.622.041
60,4765040669302757922,Janis Blaswich,12.096.948
61,-2743699280277248100,Leopold Zingerle,500.000
62,7190134354002404628,Péter Gulácsi,6.955.697
63,-1341573437647595191,Timo Schlieck,-
64,5699294057713891363,Willi Orbán,32.291.081
65,6879367843315287972,Lukas Klostermann,5.266.526
66,4022133610470887569,Mohamed Simakan,18.489.634
67,-1673937977331072663,El Chadaille Bitshiabu,5.720.711
68,7118322245172814421,Castello Lukeba,15.168.749
69,-8973819317136791103,David Raum,18.210.066
70,-3351141788624855328,Benjamin Henrichs,20.864.293
71,-2926325927389441102,Kevin Kampl,6.102.194
72,-1716786175677557142,Xaver Schlager,15.240.076
73,-2008911312938857691,Amadou Haidara,4.137.261
74,-4335786434330570336,Nicolas Seiwald,13.830.811
75,125126887430128536,Ilaix Moriba,3.821.100
76,2341990900410714428,Dani Olmo,33.073.584
77,-1555701045340416186,Christoph Baumgartner,11.978.568
78,-5564816013057425401,Xavi Simons,27.110.587
79,7466460369737838565,Caden Clark,-
80,-1522133384537733413,Fábio Carvalho,8.241.624
81,8124340816914748935,Emil Forsberg,8.822.418
82,4332351218674693535,Hugo Novoa,3.022.027
83,8935585066182134621,Timo Werner,26.382.980
84,7577176905352226841,Yussuf Poulsen,3.940.841
