,ID,Name,season,Points
1,2582,Maximilian Bauer,2022,1059.0
2,2582,Maximilian Bauer,2021,907.0
4,2582,Maximilian Bauer,2023,444.0
5,1308,Ihlas Bebou,2022,1327.0
6,1308,Ihlas Bebou,2021,2011.0
7,1308,Ihlas Bebou,2020,2709.0
8,1308,Ihlas Bebou,2019,2258.0
9,1308,Ihlas Bebou,2023,622.0
10,3515,Adrian Beck,2022,1573.0
11,3515,Adrian Beck,2023,370.0
12,524,Oliver Baumann,2022,2901.0
13,524,Oliver Baumann,2021,2707.0
14,524,Oliver Baumann,2020,2458.0
15,524,Oliver Baumann,2019,2784.0
16,524,Oliver Baumann,2023,1958.0
17,2275,Christoph Baumgartner,2022,2500.0
18,2275,Christoph Baumgartner,2021,2035.0
19,2275,Christoph Baumgartner,2020,2636.0
20,2275,Christoph Baumgartner,2019,1794.0
21,2275,Christoph Baumgartner,2023,1020.0
23,2596,Finn Becker,2021,1279.0
24,2596,Finn Becker,2022,354.0
26,2596,Finn Becker,2023,278.0
27,2646,Sheraldo Becker,2022,3143.0
28,2646,Sheraldo Becker,2021,2108.0
29,2646,Sheraldo Becker,2020,1401.0
30,2646,Sheraldo Becker,2019,191.0
31,2646,Sheraldo Becker,2023,345.0
32,2496,Kevin Behrens,2022,2112.0
33,2496,Kevin Behrens,2021,784.0
35,2496,Kevin Behrens,2023,1010.0
36,2714,Maximilian Beier,2022,1570.0
37,2714,Maximilian Beier,2021,1660.0
39,2714,Maximilian Beier,2020,-12.0
40,2714,Maximilian Beier,2023,1137.0
42,2521,Morten Behrens,2021,78.0
46,3120,Tom Bischof,2022,161.0
47,3120,Tom Bischof,2021,-12.0
48,3120,Tom Bischof,2023,184.0
49,624,Leonardo Bittencourt,2021,1922.0
50,624,Leonardo Bittencourt,2022,1284.0
52,624,Leonardo Bittencourt,2020,1421.0
53,624,Leonardo Bittencourt,2023,571.0
54,4,Janis Blaswich,2022,2321.0
56,4,Janis Blaswich,2014,0.0
58,4,Janis Blaswich,2023,1444.0
59,2125,Jan-Niklas Beste,2022,4774.0
60,2125,Jan-Niklas Beste,2021,2346.0
63,2125,Jan-Niklas Beste,2023,1671.0
64,7288,Leonardo Bonucci,2023,261.0
65,6745,Victor Boniface,2023,2715.0
67,3090,Yvandro Borges Sanches,2022,20.0
68,3090,Yvandro Borges Sanches,2023,24.0
69,2725,Sebastiaan Bornauw,2022,1894.0
70,2725,Sebastiaan Bornauw,2021,1628.0
71,2725,Sebastiaan Bornauw,2020,1887.0
72,2725,Sebastiaan Bornauw,2019,2374.0
73,2725,Sebastiaan Bornauw,2023,256.0
75,2278,Pavao Pervan,2021,417.0
76,2278,Pavao Pervan,2020,150.0
77,2278,Pavao Pervan,2019,697.0
78,2278,Pavao Pervan,2023,160.0
80,3232,Luca Pfeiffer,2021,3756.0
81,3232,Luca Pfeiffer,2022,165.0
82,3232,Luca Pfeiffer,2023,795.0
83,2572,Patric Pfeiffer,2022,2621.0
84,2572,Patric Pfeiffer,2021,3491.0
86,2572,Patric Pfeiffer,2023,320.0
88,2852,Luca Philipp,2020,0.0
90,1226,Maximilian Philipp,2022,262.0
91,1226,Maximilian Philipp,2021,911.0
92,1226,Maximilian Philipp,2020,1574.0
94,1226,Maximilian Philipp,2023,203.0
95,2288,Alassane Plea,2022,1885.0
96,2288,Alassane Plea,2021,3309.0
97,2288,Alassane Plea,2020,2226.0
98,2288,Alassane Plea,2019,3375.0
99,2288,Alassane Plea,2023,1621.0
100,3344,Florian Pick,2022,1867.0
101,3344,Florian Pick,2021,988.0
102,3344,Florian Pick,2023,116.0
103,1865,Yussuf Poulsen,2022,696.0
104,1865,Yussuf Poulsen,2021,1310.0
105,1865,Yussuf Poulsen,2020,1894.0
106,1865,Yussuf Poulsen,2019,1749.0
107,1865,Yussuf Poulsen,2023,1023.0
109,2294,Amos Pieper,2022,1681.0
110,2294,Amos Pieper,2021,2049.0
111,2294,Amos Pieper,2020,2708.0
112,2294,Amos Pieper,2023,536.0
113,1671,Grischa Prömel,2022,1076.0
114,1671,Grischa Prömel,2021,2467.0
115,1671,Grischa Prömel,2020,1619.0
116,1671,Grischa Prömel,2019,453.0
117,1671,Grischa Prömel,2023,1294.0
118,3027,Marvin Pieringer,2022,2295.0
119,3027,Marvin Pieringer,2021,866.0
121,3027,Marvin Pieringer,2023,620.0
122,4633,Gustavo Puerta,2023,104.0
123,7316,Luca Raimund,2023,6.0
124,3085,Grant-Leon Ranos,2023,14.0
125,3548,Elidon Qenaj,2022,21.0
