age,games,minutes,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,season,ID,Points,Position,xG,xA,key_passes,npxG,xGChain,xGBuildup
27,6,258,0,0,0,0,0,0,1,0,0.2,0.6,3.0,7.0,7.0,4,2,0.0,0.0,11.4,0.0,0.09,-0.4,-0.4,41.0,71.0,621.0,142.0,22.0,37.0,59.5,15.0,25.0,60.0,2.0,3.0,66.7,0.1,-0.2,3.0,6.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0,2.0,5.0,0.0,107.0,7.0,9.0,55.0,44.0,8.0,107.0,6.0,1.0,4.0,39.0,208.0,45.0,2.0,1.0,7.0,7.0,83.0,2023,1975,116.0,4,0.7035475298762321,0.1539196483790874,3,0.7035475298762321,1.093188390135765,0.4699646607041359
21,13,94,1,0,1,1,0,0,0,0,0.1,1.5,8.0,5.0,10.0,5,3,0.2,0.33,10.4,0.0,0.27,-0.4,-0.4,37.0,52.0,487.0,120.0,22.0,27.0,81.5,8.0,14.0,57.1,3.0,4.0,75.0,0.1,-0.1,3.0,2.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,0.0,0.0,68.0,0.0,7.0,30.0,33.0,10.0,68.0,3.0,1.0,2.0,38.0,323.0,209.0,5.0,3.0,1.0,6.0,56.0,2023,3471,365.0,4,1.4863183870911598,0.1909113638103008,3,1.4863183870911598,2.492357809096575,0.8898181840777397
26,13,566,0,1,1,0,0,0,1,0,0.7,2.3,6.0,10.0,20.0,9,2,0.0,0.0,11.2,0.0,0.18,-1.6,-1.6,178.0,235.0,2781.0,530.0,94.0,115.0,81.7,65.0,76.0,85.5,12.0,19.0,63.2,0.4,0.3,8.0,10.0,2.0,0.0,19.0,13.0,0.0,2.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,10.0,5,2.0,7.0,1.0,6.0,13.0,7.0,5.0,0.0,5.0,3,13.0,9.0,0.0,301.0,6.0,48.0,164.0,91.0,21.0,301.0,14.0,9.0,5.0,175.0,868.0,303.0,3.0,0.0,13.0,12.0,191.0,2023,3515,370.0,3,0.8893701657652855,0.9713266678154469,8,0.8893701657652855,0.8996639661490917,0.5260062925517559
19,5,299,0,2,2,0,0,0,1,0,0.6,0.9,7.0,26.0,2.0,3,0,0.0,0.0,20.1,0.0,0.08,-0.2,-0.2,202.0,226.0,3377.0,917.0,98.0,104.0,94.2,83.0,89.0,93.3,16.0,24.0,66.7,0.7,1.4,4.0,22.0,3.0,1.0,12.0,8.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,10,5.0,6.0,1.0,7.0,11.0,4.0,6.0,0.0,6.0,2,14.0,3.0,0.0,261.0,5.0,49.0,169.0,44.0,2.0,261.0,3.0,2.0,1.0,156.0,925.0,458.0,4.0,2.0,3.0,3.0,175.0,2023,6080,543.0,3,0.2069587856531143,0.9458482414484024,4,0.2069587856531143,2.0628519132733345,1.5986358001828194
25,12,762,0,0,0,0,0,0,2,0,0.3,1.1,9.0,25.0,15.0,9,3,0.0,0.0,19.7,0.0,0.09,-0.8,-0.8,194.0,266.0,3302.0,736.0,80.0,100.0,80.0,100.0,119.0,84.0,10.0,28.0,35.7,0.2,-0.3,3.0,18.0,2.0,1.0,8.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,2.0,8.0,2.0,4.0,11.0,7.0,9.0,2.0,7.0,2,14.0,14.0,0.0,334.0,18.0,75.0,188.0,75.0,9.0,334.0,5.0,2.0,2.0,147.0,928.0,507.0,10.0,0.0,8.0,5.0,173.0,2023,4253,278.0,3,0.879540828987956,0.1405405616387725,3,0.879540828987956,1.2670341050252318,0.4358482519164681
19,2,29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,23.2,0.0,0.04,0.0,0.0,7.0,9.0,122.0,52.0,3.0,4.0,75.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0,0.0,0.0,0.0,13.0,0.0,5.0,6.0,2.0,0.0,13.0,1.0,1.0,0.0,7.0,41.0,31.0,0.0,0.0,1.0,0.0,6.0,2023,4446,54.0,3,0.0328893437981605,0.0,0,0.0328893437981605,0.6743266731500626,0.641437329351902
23,14,1088,0,3,3,0,0,0,0,0,1.5,1.8,65.0,62.0,73.0,6,1,0.0,0.0,21.0,0.0,0.05,-0.3,-0.3,770.0,872.0,11120.0,2852.0,461.0,508.0,90.7,276.0,298.0,92.6,15.0,29.0,51.7,1.9,1.5,21.0,44.0,21.0,5.0,44.0,37.0,1.0,2.0,1.0,2.0,1.0,8.0,5.0,1.0,1.0,0.0,1.0,0.0,21.0,12,12.0,9.0,0.0,11.0,22.0,11.0,17.0,1.0,16.0,11,32.0,23.0,1.0,1028.0,37.0,303.0,472.0,276.0,35.0,1028.0,70.0,38.0,29.0,670.0,4236.0,2418.0,50.0,19.0,26.0,11.0,704.0,2023,2366,1701.0,2,0.2388243582099676,1.7133991084992886,21,0.2388243582099676,10.530571036040785,9.656279563903809
25,10,639,0,0,0,0,0,0,3,0,0.8,1.5,2.0,56.0,6.0,12,4,0.0,0.0,21.8,0.0,0.06,-0.7,-0.7,341.0,404.0,5632.0,2051.0,166.0,190.0,87.4,142.0,159.0,89.3,25.0,35.0,71.4,0.9,-0.8,9.0,49.0,12.0,0.0,24.0,22.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,12,9.0,6.0,2.0,7.0,15.0,8.0,12.0,1.0,11.0,10,27.0,8.0,0.0,474.0,14.0,78.0,303.0,96.0,10.0,474.0,5.0,4.0,1.0,212.0,905.0,463.0,7.0,1.0,5.0,3.0,293.0,2023,2365,876.0,3,0.4638575352728367,0.9021467119455338,9,0.4638575352728367,6.621465254575014,5.458470340818167
22,5,98,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,114.0,43.0,5.0,12.0,41.7,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,33.0,1.0,5.0,17.0,11.0,2.0,33.0,3.0,1.0,1.0,23.0,89.0,54.0,1.0,0.0,4.0,1.0,27.0,2023,7281,-38.0,4,0.0,0.0,0,0.0,0.313305351883173,0.313305351883173
23,11,265,1,3,4,1,0,0,1,0,0.6,1.2,15.0,15.0,45.0,7,3,0.14,0.33,15.5,0.0,0.07,0.5,0.5,109.0,141.0,1413.0,396.0,75.0,86.0,87.2,26.0,33.0,78.8,3.0,11.0,27.3,0.9,2.4,9.0,9.0,4.0,0.0,17.0,15.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1,1.0,2.0,3.0,4.0,6.0,2.0,5.0,1.0,4.0,3,9.0,1.0,0.0,174.0,2.0,20.0,74.0,80.0,17.0,174.0,5.0,4.0,0.0,102.0,648.0,424.0,12.0,6.0,7.0,1.0,137.0,2023,3132,684.0,4,0.6428258754312992,1.0796934999525547,10,0.6428258754312992,2.78951047360897,1.3752200361341238
