age,games,minutes,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,season,ID,Points,Position,xG,xA,key_passes,npxG,xGChain,xGBuildup
20,29,1286,5,3,8,5,0,0,2,0,2.5,5.3,22.0,32.0,70.0,30,11,0.17,0.45,16.9,2.0,0.09,2.3,2.3,241.0,332.0,3525.0,988.0,145.0,178.0,81.5,63.0,88.0,71.6,20.0,30.0,66.7,1.3,0.5,18.0,21.0,6.0,0.0,39.0,30.0,3.0,1.0,4.0,1.0,0.0,8.0,6.0,0.0,0.0,2.0,0.0,0.0,9.0,4,4.0,3.0,2.0,3.0,9.0,6.0,9.0,2.0,7.0,6,15.0,9.0,0.0,490.0,11.0,49.0,236.0,210.0,42.0,490.0,22.0,9.0,7.0,251.0,1125.0,535.0,17.0,9.0,43.0,22.0,356.0,2022,3471,1428.0,4,2.666957816109061,2.6284044701606035,18,2.666957816109061,7.671263899188489,3.3072979166172445
24,29,2357,0,0,0,0,0,0,3,0,0.7,2.2,41.0,100.0,70.0,32,2,0.0,0.0,20.1,0.0,0.05,-1.5,-1.5,586.0,847.0,10138.0,3421.0,255.0,335.0,76.1,256.0,331.0,77.3,51.0,103.0,49.5,1.8,-0.7,11.0,73.0,16.0,5.0,53.0,45.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,24,10.0,22.0,2.0,17.0,37.0,20.0,31.0,6.0,25.0,17,51.0,53.0,0.0,1108.0,72.0,273.0,610.0,241.0,47.0,1108.0,51.0,23.0,22.0,552.0,2960.0,1364.0,21.0,4.0,30.0,21.0,600.0,2022,4253,1324.0,3,1.562538480386138,0.5070484662428498,11,1.562538480386138,6.027862414717674,4.629865577444434
18,29,2234,3,5,8,3,0,0,4,1,4.3,6.6,121.0,135.0,191.0,12,5,0.25,0.6,19.2,0.0,0.19,0.7,0.7,1556.0,1818.0,22115.0,6305.0,931.0,1027.0,90.7,488.0,553.0,88.2,67.0,101.0,66.3,3.8,0.7,37.0,96.0,42.0,19.0,73.0,62.0,1.0,5.0,0.0,3.0,2.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,70.0,43,35.0,24.0,11.0,38.0,58.0,20.0,35.0,6.0,29.0,31,101.0,51.0,0.0,2172.0,60.0,539.0,1010.0,653.0,61.0,2172.0,129.0,82.0,47.0,1238.0,7792.0,4438.0,90.0,22.0,53.0,42.0,1320.0,2019,2366,4259.0,2,2.3693599672988057,4.259582146070898,36,2.3693599672988057,25.400243878364563,21.066972889006134
19,23,1763,1,2,3,1,0,0,2,1,1.9,2.1,80.0,123.0,131.0,4,3,0.25,0.33,23.2,0.0,0.04,0.8,0.8,1322.0,1492.0,19267.0,5346.0,747.0,809.0,92.3,481.0,520.0,92.5,46.0,69.0,66.7,2.2,0.1,21.0,107.0,19.0,6.0,63.0,53.0,0.0,6.0,0.0,3.0,1.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0,39.0,27,16.0,17.0,6.0,28.0,40.0,12.0,21.0,1.0,20.0,28,67.0,33.0,1.0,1736.0,54.0,420.0,877.0,480.0,34.0,1736.0,96.0,63.0,33.0,1027.0,6227.0,3498.0,63.0,14.0,62.0,28.0,1109.0,2020,2366,2374.0,2,0.1308334982022643,1.8857617769390345,20,0.1308334982022643,13.968150913715364,12.65981831215322
20,22,1740,0,3,3,0,0,0,3,0,4.1,5.4,113.0,98.0,201.0,18,6,0.0,0.0,16.6,0.0,0.07,-1.3,-1.3,1106.0,1322.0,16408.0,4267.0,649.0,724.0,89.6,392.0,462.0,84.8,45.0,78.0,57.7,4.5,-1.1,34.0,55.0,39.0,7.0,70.0,54.0,4.0,9.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,17,17.0,8.0,9.0,13.0,31.0,18.0,27.0,1.0,26.0,23,57.0,26.0,1.0,1592.0,45.0,358.0,678.0,594.0,80.0,1592.0,125.0,80.0,45.0,980.0,6590.0,4087.0,73.0,38.0,47.0,24.0,1030.0,2021,2366,2761.0,2,1.6672136839479208,4.254625952802599,34,1.6672136839479208,13.315142715349792,8.138706654310226
21,26,2042,1,4,5,1,0,0,0,0,3.7,5.4,117.0,133.0,158.0,19,8,0.05,0.13,18.6,0.0,0.09,-0.7,-0.7,1361.0,1567.0,21727.0,5882.0,721.0,786.0,91.7,542.0,600.0,90.3,76.0,116.0,65.5,4.3,0.3,44.0,110.0,39.0,5.0,88.0,76.0,0.0,9.0,1.0,1.0,1.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,45.0,28,25.0,13.0,7.0,18.0,39.0,21.0,28.0,4.0,24.0,24,69.0,24.0,4.0,1859.0,51.0,446.0,912.0,545.0,84.0,1859.0,140.0,70.0,55.0,1226.0,7671.0,4417.0,66.0,37.0,50.0,27.0,1229.0,2022,2366,2939.0,2,2.2144710374996066,3.4712795857340097,43,2.2144710374996066,20.46779531426728,15.926782006397843
21,19,756,0,1,1,0,0,0,1,0,2.2,2.9,15.0,55.0,36.0,19,6,0.0,0.0,24.8,0.0,0.04,-0.7,-0.7,474.0,560.0,6419.0,2072.0,274.0,301.0,91.0,131.0,152.0,86.2,22.0,33.0,66.7,1.1,-1.2,12.0,50.0,7.0,1.0,41.0,33.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,16,7.0,17.0,2.0,10.0,24.0,14.0,14.0,2.0,12.0,8,34.0,10.0,1.0,687.0,17.0,95.0,393.0,206.0,15.0,687.0,30.0,19.0,11.0,379.0,1903.0,1003.0,18.0,2.0,21.0,7.0,494.0,2019,2365,1179.0,3,0.7184227900579572,2.0532493256032467,11,0.7184227900579572,6.48830908164382,4.932446207851172
22,31,1905,3,1,4,3,0,0,4,0,3.0,6.8,53.0,99.0,121.0,43,13,0.07,0.23,19.6,1.0,0.09,-0.9,-0.9,869.0,1099.0,12075.0,3814.0,526.0,609.0,86.4,248.0,312.0,79.5,44.0,76.0,57.9,3.2,-2.0,35.0,86.0,26.0,8.0,67.0,59.0,0.0,1.0,3.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,50.0,28,20.0,21.0,9.0,11.0,36.0,25.0,33.0,1.0,32.0,30,80.0,24.0,0.0,1386.0,25.0,219.0,723.0,459.0,59.0,1386.0,31.0,20.0,11.0,744.0,3550.0,1925.0,28.0,12.0,43.0,22.0,914.0,2020,2365,2758.0,3,3.492761965841055,2.7209727270528674,35,3.492761965841055,11.410779979079962,6.280218498781323
23,20,1326,3,1,4,3,0,0,2,0,0.7,2.0,12.0,99.0,18.0,14,5,0.21,0.6,23.4,0.0,0.09,1.8,1.8,655.0,788.0,9966.0,3375.0,354.0,393.0,90.1,202.0,243.0,83.1,56.0,73.0,76.7,1.7,0.3,8.0,86.0,16.0,1.0,31.0,27.0,0.0,2.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,30.0,14,11.0,19.0,0.0,17.0,37.0,20.0,22.0,6.0,16.0,16,46.0,8.0,1.0,940.0,8.0,139.0,648.0,162.0,13.0,940.0,24.0,19.0,5.0,475.0,2207.0,1045.0,17.0,2.0,16.0,15.0,615.0,2021,2365,1718.0,3,1.312832497060299,0.5987329930067062,8,1.312832497060299,7.5146058443933725,6.875147204846144
24,31,1430,2,1,3,2,0,0,7,0,1.5,4.3,10.0,85.0,8.0,19,6,0.11,0.33,23.7,0.0,0.15,-0.8,-0.8,684.0,824.0,11151.0,3521.0,345.0,406.0,85.0,272.0,310.0,87.7,51.0,72.0,70.8,1.3,-0.5,12.0,93.0,14.0,0.0,36.0,29.0,0.0,1.0,3.0,2.0,1.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,25.0,11,15.0,10.0,0.0,13.0,34.0,21.0,26.0,6.0,20.0,26,51.0,20.0,0.0,980.0,32.0,191.0,619.0,174.0,7.0,980.0,12.0,9.0,2.0,561.0,2494.0,1190.0,19.0,0.0,11.0,13.0,636.0,2022,2365,1772.0,3,2.706375576555729,1.3238185830414295,12,2.706375576555729,7.044573534280062,5.077068915590644
