team_title,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,team_id,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,games_played,season
Augsburg,23.768470999999998,27.998281,20.737351,23.45161,87,130,24,31,19.939799999999998,4,6,6,18,-2.714259,121,5084,351,3366,305,16,2023
Bayer Leverkusen,38.765622,17.626830599999998,36.492292,17.626830599999998,210,85,46,12,34.1124,13,3,0,42,18.8654614,119,4145,294,6350,343,16,2023
Bayern Munich,47.06255,12.0580771,44.789229999999996,11.3002971,196,80,49,15,38.304,12,2,1,38,33.4889329,117,3676,314,5704,352,15,2023
Bochum,26.3085064,31.853465,24.0351964,28.064581999999998,105,118,18,33,21.162399999999998,3,7,6,16,-4.0293856,268,4026,391,3065,290,16,2023
Borussia Dortmund,31.73078,29.694747,30.97301,25.002671,137,136,30,25,24.1096,7,6,3,27,5.970339,129,3605,290,4977,366,16,2023
Borussia M.Gladbach,24.623234,30.853953,21.592129,27.065072999999998,98,140,31,35,18.5454,4,5,7,17,-5.472944000000001,130,4676,291,4379,362,16,2023
Darmstadt,17.781023,33.400746,15.507696,31.885186,78,128,20,41,14.3924,2,4,10,10,-16.37749,127,3923,306,3951,319,16,2023
Eintracht Frankfurt,22.784732,25.610347,21.269182,21.68206,123,116,26,20,20.9755,6,6,4,24,-0.4128779999999991,132,4446,329,5097,371,16,2023
FC Cologne,19.735499,38.333408,17.462172,37.575628,72,126,10,28,13.4475,2,4,10,10,-20.113456,134,4955,356,4025,338,16,2023
FC Heidenheim,20.320386,37.117128,18.047046,30.170101,77,152,25,32,12.754,6,2,8,20,-12.123055,280,5023,336,3318,302,16,2023
Freiburg,24.9648387,26.318726,21.9337317,24.803176,85,139,21,26,21.4056,7,3,6,24,-2.8694443,135,4762,286,4027,310,16,2023
Hoffenheim,26.038753,29.471955,22.249874,26.44085,100,146,32,30,20.053,7,3,6,24,-4.190976,120,4116,296,3933,300,16,2023
Mainz 05,20.401172,22.379192,18.127842,20.863642,112,108,13,28,20.9539,1,7,8,10,-2.7358,125,4499,396,3644,333,16,2023
RasenBallsport Leipzig,35.695127,18.856722,31.906233999999998,17.341175,142,67,38,17,31.5598,10,3,3,33,14.565059,136,3744,316,5258,332,16,2023
Union Berlin,20.3561086,25.89273,18.0827726,22.10385,73,66,17,31,17.7591,4,1,10,13,-4.0210774,240,4799,330,3396,279,15,2023
VfB Stuttgart,41.128647,17.996539,36.436557,17.23876,161,84,37,19,36.1684,11,1,4,34,19.197797,133,3940,326,5528,347,16,2023
Werder Bremen,21.599659,29.638389,19.199289,27.365049,113,142,23,30,17.6872,4,4,8,16,-8.165759999999999,123,4630,339,4380,330,16,2023
Wolfsburg,20.450123,28.413995999999997,18.795152,27.656216,111,117,20,27,17.6314,6,1,9,19,-8.861063999999999,131,4649,347,4300,315,16,2023
